n v tiempo llamadas
1 1 0.000505 3
2 1 0.000671 5
3 1 0.000569 7
4 1 0.000586 9
5 1 0.000605 11
6 1 0.000621 13
7 1 0.000755 15
8 1 0.000719 17
9 1 0.000718 19
10 1 0.000783 21
11 1 0.000838 23
12 1 0.000795 25
13 1 0.000909 27
14 1 0.000894 29
15 1 0.000891 31
16 1 0.000972 33
17 1 0.000965 35
18 1 0.001028 37
19 1 0.001019 39
20 1 0.001053 41
21 1 0.001246 43
22 1 0.001113 45
23 1 0.001072 47
24 1 0.001217 49
25 1 0.001287 51
26 1 0.001303 53
27 1 0.001343 55
28 1 0.001344 57
29 1 0.001436 59
1 16 0.000403 3
2 16 0.000793 6
3 16 0.000554 10
4 16 0.001051 15
5 16 0.001086 29
6 16 0.001094 29
7 16 0.002207 77
8 16 0.002674 101
9 16 0.003201 117
10 16 0.004422 183
11 16 0.004175 180
12 16 0.006186 255
13 16 0.006869 312
14 16 0.01081 418
15 16 0.010269 445
16 16 0.009719 442
17 16 0.012308 541
18 16 0.019214 849
19 16 0.016087 689
20 16 0.010013 465
21 16 0.028681 1273
22 16 0.022687 1169
23 16 0.026276 1412
24 16 0.024922 1264
25 16 0.036523 1773
26 16 0.058378 1935
27 16 0.030363 1748
28 16 0.039988 1992
29 16 0.058795 2705
1 49 0.000288 3
2 49 0.000606 6
3 49 0.000723 11
4 49 0.000819 21
5 49 0.001065 29
6 49 0.001865 68
7 49 0.0037 175
8 49 0.001581 61
9 49 0.005863 257
10 49 0.003739 161
11 49 0.005164 268
12 49 0.003965 178
13 49 0.011132 638
14 49 0.006536 342
15 49 0.0128 559
16 49 0.006906 350
17 49 0.010234 509
18 49 0.022568 936
19 49 0.018749 868
20 49 0.022755 1090
21 49 0.028602 1434
22 49 0.02139 1111
23 49 0.032101 1657
24 49 0.022287 1177
25 49 0.040091 2093
26 49 0.034544 1710
27 49 0.044691 2199
28 49 0.05197 2656
29 49 0.067984 3264
1 100 0.000327 3
2 100 0.000414 6
3 100 0.000659 10
4 100 0.001021 28
5 100 0.001458 48
6 100 0.001609 54
7 100 0.00197 77
8 100 0.002832 116
9 100 0.002252 87
10 100 0.003761 175
11 100 0.010656 561
12 100 0.009968 496
13 100 0.019806 890
14 100 0.005755 272
15 100 0.013592 597
16 100 0.024596 1115
17 100 0.013279 621
18 100 0.025449 1179
19 100 0.012117 630
20 100 0.022145 1103
21 100 0.067574 3430
22 100 0.02697 1296
23 100 0.094554 5185
24 100 0.033155 1673
25 100 0.040625 2102
26 100 0.056155 2467
27 100 0.058774 2808
28 100 0.072125 3349
29 100 0.066346 2950
1 169 0.000432 3
2 169 0.000496 6
3 169 0.000571 10
4 169 0.001059 29
5 169 0.001036 30
6 169 0.001695 54
7 169 0.002588 101
8 169 0.002354 87
9 169 0.002738 113
10 169 0.006794 369
11 169 0.008312 420
12 169 0.005515 256
13 169 0.007731 401
14 169 0.01838 1110
15 169 0.020974 1026
16 169 0.009323 465
17 169 0.014506 725
18 169 0.026756 1464
