1 3 0.000385 3
2 4 0.000587 7
3 5 0.000713 15
4 6 0.001048 31
5 7 0.001387 63
6 8 0.002461 127
7 9 0.004351 255
8 10 0.008145 511
9 11 0.015481 1023
10 12 0.030154 2047
11 13 0.059827 4095
12 14 0.118515 8191
13 15 0.236271 16383
14 16 0.471537 32767
15 17 0.975744 65535
16 18 1.91162 131071
17 19 3.65109 262143
18 20 7.23797 524287
19 21 14.2571 1048575
20 22 27.8493 2097151
21 23 55.996 4194303
22 24 112.67 8388607
23 25 219.222 16777215
24 26 454.823 33554431
25 27 884.556 67108863
26 28 1800.96 134217727
27 29 3544.92 268435455
