n v tiempo llamadas
1 4 0.007407 3
4 4 0.002834 15
7 4 0.004618 31
10 4 0.006819 71
13 4 0.007808 87
16 4 0.011553 117
19 4 0.01246 143
22 4 0.01344 163
25 4 0.015032 191
28 4 0.016095 203
31 4 0.017062 215
34 4 0.018641 257
37 4 0.021291 281
40 4 0.022963 311
43 4 0.024239 335
46 4 0.025445 351
49 4 0.026202 365
52 4 0.028691 405
55 4 0.02992 427
58 4 0.031154 453
61 4 0.032618 473
64 4 0.034574 483
67 4 0.035052 525
70 4 0.035008 527
73 4 0.036456 565
76 4 0.037747 591
79 4 0.039074 601
1 25 0.004999 3
4 25 0.003219 27
7 25 0.006952 69
10 25 0.012419 231
13 25 0.019085 409
16 25 0.024957 591
19 25 0.028321 661
22 25 0.034915 881
25 25 0.039196 1025
28 25 0.045786 1199
31 25 0.050983 1291
34 25 0.056482 1501
37 25 0.062737 1659
40 25 0.070201 1847
43 25 0.072022 1927
46 25 0.078718 2127
49 25 0.085046 2277
52 25 0.088508 2383
55 25 0.095044 2615
58 25 0.099406 2717
61 25 0.105313 2901
64 25 0.109433 3001
67 25 0.117906 3223
70 25 0.128806 3417
73 25 0.129129 3533
76 25 0.13078 3597
79 25 0.139133 3753
1 64 0.005447 3
4 64 0.005442 31
7 64 0.008786 139
10 64 0.017057 383
13 64 0.029357 763
16 64 0.043422 1157
19 64 0.057227 1639
22 64 0.063971 1845
25 64 0.080097 2351
28 64 0.091823 2697
31 64 0.103429 3091
34 64 0.119771 3543
37 64 0.130575 3869
40 64 0.146894 4333
43 64 0.159408 4747
46 64 0.175703 5109
49 64 0.187408 5609
52 64 0.195006 5885
55 64 0.209081 6327
58 64 0.221488 6583
61 64 0.23223 7085
64 64 0.240802 7355
67 64 0.25261 7751
70 64 0.3048 8183
73 64 0.27991 8585
76 64 0.293314 8907
79 64 0.306669 9429
1 121 0.005084 3
4 121 0.005303 29
7 121 0.010373 213
10 121 0.027142 779
13 121 0.053077 1569
16 121 0.069531 2077
19 121 0.094065 2817
22 121 0.112914 3503
25 121 0.134827 4133
28 121 0.16407 4967
31 121 0.185994 5855
34 121 0.207884 6455
37 121 0.233781 7033
40 121 0.252018 7831
43 121 0.268495 8481
46 121 0.343937 9469
49 121 0.316532 9769
52 121 0.342691 10871
55 121 0.362715 11487
58 121 0.385218 12165
61 121 0.402434 12845
64 121 0.435269 13785
67 121 0.454464 14529
70 121 0.477844 15155
73 121 0.499879 15909
76 121 0.555345 16773
79 121 0.546533 17409
1 196 0.006846 3
4 196 0.005994 31
7 196 0.010652 199
10 196 0.030219 869
13 196 0.063943 1981
16 196 0.122417 2957
19 196 0.137264 4293
22 196 0.162901 5109
25 196 0.215355 6761
28 196 0.253275 8145
31 196 0.283657 9101
34 196 0.311744 9807
37 196 0.355969 11369
40 196 0.395879 12637
43 196 0.437524 13881
46 196 0.456114 14671
49 196 0.490605 15985
52 196 0.518506 16749
55 196 0.57107 18331
58 196 0.601185 19431
61 196 0.631526 20351
64 196 0.691007 21799
67 196 0.71073 23199
70 196 0.746101 24251
73 196 0.77451 25083
76 196 0.815958 26427
79 196 0.854359 27711
1 289 0.00544 3
4 289 0.007041 29
7 289 0.013226 187
10 289 0.036406 1057
13 289 0.088858 2733
16 289 0.130399 4085
19 289 0.20194 6411
22 289 0.233129 7387
25 289 0.297834 9489
28 289 0.331039 10543
31 289 0.396441 12721
34 289 0.465951 15061
37 289 0.545731 16717
40 289 0.557019 18029
43 289 0.592656 19217
46 289 0.646501 21231
49 289 0.707947 23023
52 289 0.767771 24813
55 289 0.801031 26155
58 289 0.854956 27987
61 289 0.921205 30071
64 289 0.961979 31545
67 289 1.04056 33543
70 289 1.07986 35521
73 289 1.15811 37063
76 289 1.20023 39191
79 289 1.24823 40437
1 400 0.008011 3
4 400 0.006933 29
7 400 0.013259 237
10 400 0.043405 1275
13 400 0.114247 3711
16 400 0.176749 5669
19 400 0.239661 7645
22 400 0.298683 9651
25 400 0.385977 12473
28 400 0.44713 14605
31 400 0.538083 17537
34 400 0.612848 20267
37 400 0.647424 21131
40 400 0.746455 24515
43 400 0.83005 27385
46 400 0.873729 28065
49 400 1.03266 32035
52 400 1.06786 35151
55 400 1.11292 36645
58 400 1.20302 39047
61 400 1.24316 40879
64 400 1.32237 43403
67 400 1.41284 46411
70 400 1.45359 47677
73 400 1.58377 51561
76 400 1.63181 53745
79 400 1.6976 55729
1 529 0.007863 3
4 529 0.008563 29
7 529 0.01485 179
10 529 0.04456 1331
13 529 0.122668 3883
16 529 0.223251 7215
19 529 0.289007 9373
22 529 0.437529 14293
25 529 0.469042 15513
28 529 0.609034 20175
31 529 0.662898 21521
34 529 0.79619 25603
37 529 0.866186 28539
40 529 0.966617 31969
43 529 1.08254 34829
46 529 1.16718 38449
49 529 1.24563 40707
52 529 1.35519 44361
55 529 1.44884 47651
58 529 1.67195 50979
61 529 1.70538 54845
64 529 1.74598 57289
67 529 1.88744 61041
70 529 1.95328 63399
73 529 2.04258 66627
76 529 2.20583 69837
79 529 2.26187 73865
1 676 0.009373 3
4 676 0.010933 31
7 676 0.018758 237
10 676 0.043747 1139
13 676 0.114044 3473
16 676 0.245048 8051
19 676 0.388587 12659
22 676 0.531202 17299
25 676 0.613821 20245
28 676 0.778566 25715
31 676 0.89426 28559
