n v tiempo llamadas
1 1 0.007822 3
2 1 0.002201 5
3 1 0.002259 7
4 1 0.002517 9
5 1 0.003709 11
6 1 0.003855 13
7 1 0.00383 15
8 1 0.004102 17
9 1 0.004664 19
10 1 0.005151 21
11 1 0.004981 23
12 1 0.005282 25
13 1 0.005848 27
14 1 0.005708 29
15 1 0.007249 31
16 1 0.00767 33
17 1 0.008342 35
18 1 0.00757 37
19 1 0.008198 39
20 1 0.008208 41
21 1 0.008682 43
22 1 0.008805 45
23 1 0.009237 47
24 1 0.009844 49
25 1 0.022701 51
26 1 0.010656 53
27 1 0.010235 55
28 1 0.011744 57
29 1 0.010421 59
1 16 0.004822 3
2 16 0.002235 7
3 16 0.002584 13
4 16 0.003406 23
5 16 0.004251 41
6 16 0.005136 61
7 16 0.006568 99
8 16 0.00833 113
9 16 0.009913 145
10 16 0.011522 179
11 16 0.012238 205
12 16 0.014435 255
13 16 0.015792 283
14 16 0.016599 325
15 16 0.021238 367
16 16 0.019581 399
17 16 0.019644 393
18 16 0.020791 455
19 16 0.022426 485
20 16 0.022097 501
21 16 0.023822 565
22 16 0.025649 631
23 16 0.025952 603
24 16 0.026467 629
25 16 0.028764 693
26 16 0.043272 719
27 16 0.030906 751
28 16 0.031679 819
29 16 0.032633 837
1 49 0.005364 3
2 49 0.002399 7
3 49 0.003017 13
4 49 0.004849 27
5 49 0.005936 51
6 49 0.007155 79
7 49 0.008494 153
8 49 0.010401 163
9 49 0.0143 293
10 49 0.016959 373
11 49 0.019655 421
12 49 0.022939 539
13 49 0.024769 577
14 49 0.029389 755
15 49 0.035 917
16 49 0.034971 909
17 49 0.039656 1049
18 49 0.044503 1227
19 49 0.047135 1329
20 49 0.049511 1427
21 49 0.051565 1497
22 49 0.054716 1557
23 49 0.058549 1757
24 49 0.053019 1561
25 49 0.06245 1903
26 49 0.06671 1965
27 49 0.067752 2095
28 49 0.07258 2189
29 49 0.075172 2319
1 100 0.00361 3
2 100 0.003953 7
3 100 0.004229 13
4 100 0.005068 31
5 100 0.006175 59
6 100 0.00764 89
7 100 0.010282 203
8 100 0.014402 345
9 100 0.014695 313
10 100 0.022581 583
11 100 0.0309 817
12 100 0.036413 1015
13 100 0.039206 1097
14 100 0.050994 1455
15 100 0.060995 1745
16 100 0.060918 1751
17 100 0.07175 2107
18 100 0.070795 2115
19 100 0.075765 2203
20 100 0.079785 2525
21 100 0.089143 2937
22 100 0.093237 2975
23 100 0.101787 3345
24 100 0.108633 3429
25 100 0.107146 3479
26 100 0.108189 3637
27 100 0.123548 4071
28 100 0.127834 4269
29 100 0.134897 4357
1 169 0.005107 3
2 169 0.003969 7
3 169 0.004555 15
4 169 0.005089 31
5 169 0.006124 61
6 169 0.008833 105
7 169 0.011973 209
8 169 0.015269 329
9 169 0.016735 381
10 169 0.03309 971
11 169 0.042421 1243
12 169 0.051687 1525
13 169 0.080597 1779
14 169 0.078195 2369
15 169 0.07842 2347
16 169 0.092666 2871
17 169 0.106925 3327
18 169 0.104208 3229
19 169 0.107551 3363
20 169 0.12615 4021
21 169 0.134153 4421
22 169 0.134785 4479
23 169 0.15638 5141
24 169 0.168884 5553
25 169 0.170701 5687
26 169 0.183329 6191
27 169 0.205072 6429
28 169 0.19843 6769
29 169 0.244107 7189
1 256 0.005007 3
2 256 0.004334 7
3 256 0.004909 15
4 256 0.006587 31
5 256 0.007462 53
6 256 0.009403 115
7 256 0.011711 193
8 256 0.016618 373
9 256 0.024831 669
10 256 0.031355 805
11 256 0.049122 1497
12 256 0.072144 2203
13 256 0.07644 2259
14 256 0.0954 2857
15 256 0.118284 3645
16 256 0.122464 3439
17 256 0.136261 4247
18 256 0.163548 5067
19 256 0.175055 5663
20 256 0.176149 5837
21 256 0.209222 6705
22 256 0.205587 6657
23 256 0.233564 7883
24 256 0.229431 7693
25 256 0.244385 8339
26 256 0.264873 9065
27 256 0.276628 9559
28 256 0.342574 10329
29 256 0.300875 10857
1 361 0.006987 3
2 361 0.004439 7
3 361 0.006252 15
4 361 0.007121 31
5 361 0.007857 59
6 361 0.010448 119
7 361 0.013105 173
8 361 0.019651 395
9 361 0.025662 655
10 361 0.039437 1189
11 361 0.058821 1747
12 361 0.077143 2285
13 361 0.084683 2597
14 361 0.130231 4053
15 361 0.144531 4471
16 361 0.150473 4667
17 361 0.183318 5857
18 361 0.213571 6707
19 361 0.226271 7187
20 361 0.223812 7585
21 361 0.250996 8597
22 361 0.277578 9427
23 361 0.295105 10263
24 361 0.319764 10971
25 361 0.337646 11655
26 361 0.360701 12411
27 361 0.353629 12635
28 361 0.403507 13915
29 361 0.410899 14259
1 484 0.005585 3
2 484 0.008038 7
3 484 0.006626 15
4 484 0.008247 31
5 484 0.009408 61
6 484 0.013059 115
7 484 0.016471 223
8 484 0.020166 321
9 484 0.027766 581
10 484 0.041142 1149
11 484 0.06561 2077
12 484 0.089227 2867
13 484 0.127168 4043
14 484 0.149712 4669
15 484 0.186864 6167
16 484 0.218018 7197
17 484 0.241147 7685
18 484 0.26464 8679
19 484 0.286032 9291
20 484 0.29172 10085
21 484 0.31537 10829
22 484 0.350765 12127
23 484 0.376535 13615
24 484 0.383909 13171
25 484 0.451715 15785
26 484 0.454306 16039
27 484 0.469097 16465
28 484 0.511505 17905
29 484 0.536595 19431
1 625 0.008667 3
2 625 0.006539 7
3 625 0.007871 15
4 625 0.009307 31
5 625 0.012216 59
6 625 0.014513 125
7 625 0.017582 223
8 625 0.024366 463
9 625 0.032797 925
10 625 0.041789 1055
11 625 0.0648 1993
12 625 0.105877 3653
13 625 0.134403 4273
14 625 0.182799 5811
15 625 0.199706 6315
16 625 0.238235 7693
17 625 0.311351 9901
18 625 0.31143 10193
19 625 0.354921 11537
20 625 0.361445 12653
21 625 0.418308 14757
22 625 0.458981 15933
23 625 0.461839 15961
24 625 0.495502 17311
25 625 0.53012 18809
26 625 0.594896 20387
27 625 0.598806 20943
28 625 0.653503 22985
29 625 0.665244 23369
1 784 0.009086 3
2 784 0.007525 7
3 784 0.00917 15
4 784 0.011217 31
5 784 0.013341 63
6 784 0.015845 125
7 784 0.019121 215
8 784 0.025438 481
9 784 0.03089 623
10 784 0.041755 907
11 784 0.068101 1997
12 784 0.102899 3241
13 784 0.132048 4193
14 784 0.19439 6467
15 784 0.267972 8883
16 784 0.281341 9239
17 784 0.360015 11789
18 784 0.348305 11905
19 784 0.430153 14263
20 784 0.4369 15143
21 784 0.512051 17057
22 784 0.537362 18781
23 784 0.530298 19347
24 784 0.645813 22795
25 784 0.696754 24091
26 784 1.06279 24207
27 784 0.74921 26453
28 784 0.813908 27861
29 784 0.841747 29731
1 961 0.009294 3
2 961 0.008196 7
3 961 0.010809 15
4 961 0.01265 31
5 961 0.014957 61
6 961 0.017664 119
7 961 0.021897 213
8 961 0.027642 403
9 961 0.034571 585
10 961 0.050736 1309
11 961 0.071179 2039
12 961 0.108327 3615
13 961 0.132599 4077
14 961 0.204915 6821
15 961 0.257472 8413
16 961 0.318666 10541
17 961 0.378417 12397
18 961 0.486194 16009
19 961 0.475626 15655
20 961 0.540543 19059
21 961 0.594979 19987
22 961 0.654316 22847
23 961 0.682543 23889
24 961 0.777181 26475
25 961 0.766122 27745
26 961 0.859075 30081
27 961 0.91226 30731
28 961 0.983022 33977
29 961 1.00019 34681
1 1156 0.009307 3
2 1156 0.011123 7
3 1156 0.012877 15
4 1156 0.014989 31
5 1156 0.016389 51
6 1156 0.020186 109
7 1156 0.023087 215
8 1156 0.031857 405
9 1156 0.040485 801
10 1156 0.057349 1497
11 1156 0.082891 2465
12 1156 0.10288 3095
13 1156 0.178569 5831
14 1156 0.250129 8607
15 1156 0.263643 8465
16 1156 0.385889 12677
17 1156 0.445919 14549
18 1156 0.523664 17139
19 1156 0.623214 20465
20 1156 0.636894 22251
21 1156 0.671386 23453
22 1156 0.762165 26475
23 1156 0.770414 26547
24 1156 0.879555 30915
25 1156 0.923738 32473
26 1156 0.992209 34019
27 1156 1.11353 39097
28 1156 1.13919 41601
29 1156 1.23253 42241
1 1369 0.022515 3
2 1369 0.010856 7
3 1369 0.014117 15
4 1369 0.016448 31
5 1369 0.01881 63
6 1369 0.022542 127
7 1369 0.026309 223
8 1369 0.03285 445
9 1369 0.043356 793
10 1369 0.059684 1425
11 1369 0.097524 3351
12 1369 0.105043 2937
13 1369 0.196547 6443
14 1369 0.26894 9089
15 1369 0.319567 10551
16 1369 0.403482 13009
17 1369 0.468824 14937
18 1369 0.630937 19973
19 1369 0.632075 20451
20 1369 0.747461 25459
21 1369 0.803293 27691
22 1369 0.828263 30077
23 1369 1.01213 34647
24 1369 1.02504 35089
25 1369 1.09393 38095
26 1369 1.19136 40811
27 1369 1.22386 42901
28 1369 1.3461 46989
29 1369 1.47518 50589
1 1600 0.009986 3
2 1600 0.012504 7
3 1600 0.016303 15
4 1600 0.017975 31
5 1600 0.021635 63
6 1600 0.024711 115
7 1600 0.029582 255
8 1600 0.035404 353
9 1600 0.045935 711
10 1600 0.063234 1513
11 1600 0.087007 2089
12 1600 0.131965 3835
13 1600 0.203224 7189
14 1600 0.273021 8971
15 1600 0.345339 10935
16 1600 0.477253 16163
17 1600 0.56679 18495
18 1600 0.695545 21925
19 1600 0.787399 26041
20 1600 0.821266 28491
21 1600 0.852302 29197
22 1600 0.949189 33179
23 1600 1.07272 35941
24 1600 1.14527 39757
25 1600 1.29128 44867
26 1600 1.41926 47467
27 1600 1.41148 49015
28 1600 1.5227 53231
29 1600 1.66316 56683
1 1849 0.014425 3
2 1849 0.014684 7
3 1849 0.017424 15
4 1849 0.019916 29
5 1849 0.023634 49
6 1849 0.027988 119
7 1849 0.035497 227
8 1849 0.038979 341
9 1849 0.05191 931
10 1849 0.073663 1617
11 1849 0.096697 2541
12 1849 0.133604 3713
13 1849 0.203231 6863
14 1849 0.313885 11035
15 1849 0.409401 13369
16 1849 0.594399 18855
17 1849 0.685959 22855
18 1849 0.664902 22075
19 1849 0.76663 25313
20 1849 0.867584 30283
21 1849 0.973718 33433
22 1849 1.08371 39205
23 1849 1.2255 43921
24 1849 1.29987 44731
25 1849 1.52137 51473
26 1849 2.476 53533
27 1849 1.70211 57113
28 1849 1.85733 63085
29 1849 1.87303 63049
1 2116 0.013653 3
2 2116 0.016333 7
3 2116 0.020477 15
4 2116 0.023551 31
5 2116 0.026743 49
6 2116 0.03471 93
7 2116 0.038114 203
8 2116 0.044871 491
9 2116 0.057234 977
