n v tiempo llamadas
1 4 0.000511 3
4 4 0.000725 17
7 4 0.001249 28
10 4 0.002227 65
13 4 0.002517 76
16 4 0.003884 131
19 4 0.005072 167
22 4 0.004318 178
25 4 0.007697 299
28 4 0.010912 384
31 4 0.010506 386
34 4 0.012915 511
37 4 0.018219 663
40 4 0.022822 793
43 4 0.020332 758
46 4 0.026452 1011
49 4 0.02385 942
52 4 0.031404 1169
55 4 0.035142 1285
58 4 0.039074 1474
61 4 0.036892 1386
64 4 0.043673 1712
67 4 0.047168 1852
70 4 0.049963 2025
73 4 0.050561 2148
76 4 0.056124 2312
79 4 0.059237 2230
1 25 0.000447 3
4 25 0.00089 21
7 25 0.002 68
10 25 0.005585 235
13 25 0.006346 310
16 25 0.011146 489
19 25 0.018462 924
22 25 0.026508 1319
25 25 0.02815 1333
28 25 0.031086 1732
31 25 0.057232 2639
34 25 0.104785 4690
37 25 0.159273 7064
40 25 0.177529 8208
43 25 0.211476 8905
46 25 0.222631 10160
49 25 0.166443 8446
52 25 0.211083 10918
55 25 0.28726 13764
58 25 0.399563 18938
61 25 0.362191 18346
64 25 0.40051 21844
67 25 0.501955 24704
70 25 0.771141 34359
73 25 0.830137 38482
76 25 0.622996 33846
79 25 0.954835 46464
1 64 0.000393 3
4 64 0.000899 25
7 64 0.002406 88
10 64 0.004502 175
13 64 0.007002 277
16 64 0.010664 482
19 64 0.020937 1044
22 64 0.026165 1143
25 64 0.033026 1606
28 64 0.058821 2764
31 64 0.143832 6743
34 64 0.128548 4586
37 64 0.122714 5702
40 64 0.173014 8979
43 64 0.234649 10153
46 64 0.244691 13471
49 64 0.315661 14687
52 64 0.315388 14067
55 64 0.397128 18932
58 64 0.353922 17536
61 64 0.437929 21531
64 64 0.803424 39010
67 64 0.610651 29317
70 64 0.928815 41016
73 64 0.849228 39380
76 64 0.888368 43228
79 64 1.29984 56582
1 121 0.000419 3
4 121 0.000635 16
7 121 0.00226 82
10 121 0.005842 261
13 121 0.00983 379
16 121 0.033318 1628
19 121 0.012552 692
22 121 0.039902 2246
25 121 0.037838 1878
28 121 0.057023 2554
31 121 0.084386 3840
34 121 0.10226 5195
37 121 0.155798 5946
40 121 0.180368 8151
43 121 0.157842 7945
46 121 0.229143 11513
49 121 0.249916 12595
52 121 0.34447 15752
55 121 0.513143 25901
58 121 0.314628 16093
61 121 0.486071 23664
64 121 0.806633 36127
67 121 0.723546 31545
70 121 0.640939 32206
73 121 0.837756 40337
76 121 1.05535 48422
79 121 0.896278 42999
1 196 0.000466 3
4 196 0.001069 29
7 196 0.002608 90
10 196 0.006704 351
13 196 0.014359 716
16 196 0.02406 1229
19 196 0.023311 1147
22 196 0.030376 1659
25 196 0.03515 1771
28 196 0.078506 3462
31 196 0.08893 3970
34 196 0.120591 6089
37 196 0.198784 8611
40 196 0.131469 6376
43 196 0.22814 10195
46 196 0.166632 8697
49 196 0.318401 15041
52 196 0.298731 14353
55 196 0.539326 26265
58 196 0.326833 16684
61 196 0.437087 21845
64 196 0.365227 20104
67 196 0.829689 41636
70 196 0.645989 32526
73 196 0.867463 39494
76 196 0.866258 40695
79 196 1.25153 56195
1 289 0.000432 3
4 289 0.000868 20
7 289 0.001454 46
10 289 0.005682 273
13 289 0.010322 511
16 289 0.023735 1125
19 289 0.019678 941
22 289 0.019271 1065
25 289 0.038351 1780
28 289 0.161264 8599
31 289 0.085971 4744
34 289 0.292562 17385
37 289 0.307366 17748
40 289 0.099355 5535
43 289 0.202483 9555
46 289 0.370828 15605
49 289 0.212268 11048
52 289 0.396557 17599
55 289 0.275699 13642
58 289 0.51916 22975
61 289 0.901189 43646
64 289 0.671072 30673
67 289 0.650425 30808
70 289 0.961867 44306
73 289 1.14091 53267
76 289 1.67527 70409
79 289 0.792113 40181
1 400 0.000392 3
4 400 0.000795 15
7 400 0.002275 86
10 400 0.004254 192
13 400 0.021709 1247
16 400 0.021951 1325
19 400 0.015668 898
22 400 0.028792 1339
25 400 0.051851 2580
28 400 0.086471 4730
31 400 0.190279 11621
34 400 0.28552 16295
37 400 0.155206 8129
40 400 0.155192 7414
43 400 0.202329 8102
46 400 0.272664 15544
49 400 0.936784 53949
52 400 0.381437 18709
55 400 0.348875 17732
58 400 0.373852 19382
61 400 0.617643 32520
64 400 0.646803 29733
67 400 0.860209 38828
70 400 1.3952 66982
73 400 1.05449 49810
76 400 1.30409 61180
79 400 1.45664 65694
1 529 0.000422 3
4 529 0.000986 16
7 529 0.001472 54
10 529 0.00828 422
13 529 0.007014 371
16 529 0.03035 1516
19 529 0.008011 442
22 529 0.078162 4667
25 529 0.053978 2869
28 529 0.058529 2745
31 529 0.201174 10860
34 529 0.093326 4635
37 529 0.088806 4484
40 529 0.131112 6998
43 529 0.260831 14164
46 529 0.265359 14113
49 529 0.310818 14388
52 529 0.393105 19576
55 529 1.11602 64899
58 529 0.412362 20123
61 529 0.742763 36662
64 529 0.591601 28755
67 529 0.617649 32320
70 529 1.09063 53749
73 529 1.35933 62601
76 529 1.0933 52546
79 529 1.8274 84698
1 676 0.000473 3
4 676 0.001017 31
7 676 0.003194 143
10 676 0.004372 208
13 676 0.006023 308
16 676 0.036311 1943
19 676 0.040946 2191
22 676 0.058739 3632
25 676 0.069571 4639
28 676 0.355307 18188
31 676 0.142995 8366
34 676 0.072229 3996
37 676 0.201409 11725
40 676 0.169699 8131
43 676 0.165136 8505
46 676 1.37515 73487
49 676 0.410618 24382
52 676 2.25533 116722
55 676 0.341114 15172
58 676 1.66447 91796
61 676 0.835022 42924
64 676 0.926344 46290
67 676 6.3632 330396
70 676 0.879308 42033
73 676 0.929588 44506
76 676 1.1672 51888
79 676 1.2089 53198
1 841 0.00042 3
4 841 0.001062 23
7 841 0.003652 148
10 841 0.006331 334
13 841 0.007271 324
16 841 0.023872 1416
19 841 0.016339 784
22 841 0.063507 3667
25 841 0.105489 6109
28 841 0.107418 6613
31 841 0.083001 3982
34 841 0.155778 8907
37 841 0.268326 15628
40 841 0.308439 17501
43 841 0.194301 10380
46 841 0.339244 17194
49 841 1.49126 79508
52 841 1.75503 100206
55 841 2.10843 112421
58 841 3.31987 176301
61 841 0.592963 30364
64 841 1.3058 64574
67 841 0.848341 38363
70 841 0.832169 39844
73 841 4.91375 250997
76 841 1.07405 56483
79 841 1.99641 101720
1 1024 0.000368 3
4 1024 0.000891 19
7 1024 0.00244 104
10 1024 0.002991 137
13 1024 0.007146 366
16 1024 0.037882 2295
19 1024 0.025218 1536
22 1024 0.077196 4472
25 1024 0.053971 3184
28 1024 0.046886 2674
31 1024 0.09293 4723
34 1024 0.169666 9804
37 1024 0.339862 16980
40 1024 0.1684 9618
43 1024 0.189253 8885
46 1024 0.74097 41836
49 1024 1.31398 67560
52 1024 1.00991 52340
55 1024 0.295719 15460
58 1024 0.462569 21863
61 1024 0.667724 29835
64 1024 0.602442 35486
67 1024 0.88474 39327
70 1024 0.861238 49560
73 1024 0.772394 42257
76 1024 1.83685 110779
79 1024 1.42059 71094
1 1225 0.000427 3
4 1225 0.000982 25
7 1225 0.00307 123
10 1225 0.009213 443
13 1225 0.008663 489
16 1225 0.020666 1226
19 1225 0.069882 3638
22 1225 0.028998 1478
25 1225 0.060223 4072
28 1225 0.110593 7354
31 1225 0.147895 8789
34 1225 0.184457 8621
37 1225 0.39011 20535
40 1225 0.334284 22118
43 1225 0.235894 12592
46 1225 1.17653 65757
49 1225 0.381059 19530
52 1225 0.390326 18293
55 1225 1.2444 67081
58 1225 1.57324 76340
61 1225 1.0235 64398
64 1225 0.750563 45134
67 1225 0.666199 32044
70 1225 1.81258 93143
73 1225 1.92824 110421
76 1225 0.922117 51254
79 1225 1.80818 100829
1 1444 0.000429 3
4 1444 0.00095 21
7 1444 0.00199 72
10 1444 0.007058 352
13 1444 0.010992 625
16 1444 0.012032 693
19 1444 0.050828 3272
22 1444 0.06536 3949
25 1444 0.132448 7577
28 1444 0.115919 6694
31 1444 0.263926 14298
34 1444 0.337454 21237
37 1444 0.708526 36601
40 1444 0.353904 18297
43 1444 0.494715 26694
46 1444 1.00318 53894
49 1444 1.65223 89265
52 1444 0.247974 13194
55 1444 1.07452 60748
58 1444 0.583729 29873
61 1444 2.06414 116348
64 1444 1.61469 98790
67 1444 0.661333 34171
70 1444 0.818655 43061
73 1444 1.13782 59344
76 1444 1.158 58023
79 1444 1.4837 70539
1 1681 0.000477 3
4 1681 0.000888 20
7 1681 0.003177 146
10 1681 0.005458 270
13 1681 0.00596 308
16 1681 0.016857 723
19 1681 0.039431 2462
22 1681 0.107234 6613
25 1681 0.04383 2499
28 1681 0.106793 5478
31 1681 0.311083 17708
34 1681 0.338948 19308
37 1681 0.235431 13653
40 1681 0.440169 25492
43 1681 0.577692 36424
46 1681 0.818538 49633
49 1681 1.67962 93608
52 1681 3.01106 151369
55 1681 3.04535 167931
58 1681 4.59875 241056
61 1681 0.856144 42501
64 1681 0.689536 39684
67 1681 0.940431 46303
70 1681 5.95976 322822
73 1681 4.55689 253829
76 1681 1.05982 56980
79 1681 2.71743 154363
1 1936 0.000402 3
4 1936 0.000974 29
7 1936 0.001743 61
10 1936 0.008892 521
13 1936 0.009595 553
16 1936 0.01048 571
19 1936 0.056051 3518
22 1936 0.047585 2865
25 1936 0.031275 1960
28 1936 0.348746 20824
31 1936 0.704299 38908
34 1936 0.323131 20039
37 1936 0.478658 24877
40 1936 0.179086 9429
43 1936 0.649103 36740
46 1936 1.07043 56776
49 1936 1.54867 82922
52 1936 1.79904 101644
55 1936 2.34407 142219
58 1936 1.26659 76245
61 1936 0.437089 23181
64 1936 0.506387 26668
67 1936 1.96069 114746
70 1936 5.23636 299713
73 1936 6.62061 335107
76 1936 9.05524 475153
79 1936 5.76133 340517
1 2209 0.000416 3
4 2209 0.001046 30
7 2209 0.002132 71
10 2209 0.005733 289
13 2209 0.014109 795
16 2209 0.018145 1045
19 2209 0.057162 3136
22 2209 0.020374 1211
25 2209 0.058885 4069
28 2209 0.113358 6803
31 2209 0.062016 4152
34 2209 0.445922 24540
37 2209 0.130689 7183
40 2209 0.166123 8445
43 2209 0.79234 39968
46 2209 0.870447 52872
49 2209 1.31585 73839
52 2209 1.80147 94992
55 2209 0.425926 23073
58 2209 1.8909 107031
61 2209 1.86637 114352
64 2209 1.14072 74226
67 2209 2.42755 140926
70 2209 1.86742 106532
73 2209 0.887927 44146
76 2209 1.13622 55413
79 2209 1.45792 74363
1 2500 0.000428 3
4 2500 0.000864 20
7 2500 0.003311 149
10 2500 0.005842 270
