1 3 0.000292 3
2 4 0.000511 7
3 5 0.000551 15
4 6 0.000837 31
5 7 0.001175 63
6 8 0.001959 127
7 9 0.003392 255
8 10 0.006221 511
9 11 0.011774 1023
10 12 0.022761 2047
11 13 0.044735 4095
12 14 0.088845 8191
13 15 0.176471 16383
14 16 0.353061 32767
15 17 0.705937 65535
16 18 1.42312 131071
17 19 2.8431 262143
18 20 5.70205 524287
19 21 11.1266 1048575
20 22 22.1953 2097151
21 23 44.4961 4194303
22 24 88.4215 8388607
23 25 177.485 16777215
24 26 352.479 33554431
25 27 705.739 67108863
26 28 1412.47 134217727
27 29 2876.93 268435455
