1 3600 0.021122 3
4 3600 0.035635 31
7 3600 0.053096 201
10 3600 0.091476 797
13 3600 0.205504 4829
16 3600 0.450538 13821
19 3600 0.945747 30791
1 3969 0.023098 3
4 3969 0.039642 29
7 3969 0.064534 207
10 3969 0.123174 967
13 3969 0.237139 5357
16 3969 0.671232 21355
19 3969 1.26602 39085
1 4356 0.024763 3
4 4356 0.041324 29
7 4356 0.074597 175
10 4356 0.114593 835
13 4356 0.233572 4183
16 4356 0.703457 18383
19 4356 1.19676 36767
1 4761 0.028037 3
4 4761 0.046495 31
7 4761 0.08629 175
10 4761 0.12727 793
13 4761 0.23957 3959
16 4761 0.488879 12853
19 4761 1.2694 39793
1 5184 0.031208 3
4 5184 0.050795 29
7 5184 0.088829 185
10 5184 0.138333 1041
13 5184 0.260257 5001
16 5184 0.701797 19273
19 5184 1.454 45911
1 5625 0.029044 3
4 5625 0.053497 29
7 5625 0.097024 193
10 5625 0.158666 873
13 5625 0.290462 5659
16 5625 0.709965 20449
19 5625 1.63782 50573
1 6084 0.033547 3
4 6084 0.057879 31
7 6084 0.108312 199
10 6084 0.161757 1151
13 6084 0.282611 4375
16 6084 0.73775 21255
19 6084 1.68854 52549
1 6561 0.035013 3
4 6561 0.065198 29
7 6561 0.120568 189
10 6561 0.184941 1199
13 6561 0.277145 4351
16 6561 0.627122 16189
19 6561 1.84491 58223
1 7056 0.035951 3
4 7056 0.072452 31
7 7056 0.129734 203
10 7056 0.17257 879
13 7056 0.325304 5459
16 7056 0.845185 23805
19 7056 1.97144 59965
1 7569 0.039632 3
4 7569 0.074371 31
7 7569 0.127521 199
10 7569 0.184114 875
13 7569 0.328009 5165
16 7569 0.809976 21923
19 7569 1.81736 56043
1 8100 0.041851 3
4 8100 0.082521 29
7 8100 0.135405 199
10 8100 0.191004 833
13 8100 0.354287 5711
16 8100 0.815687 21631
19 8100 1.99394 60261
1 8649 0.044792 3
4 8649 0.09514 29
7 8649 0.152643 183
10 8649 0.20504 981
13 8649 0.356509 4801
16 8649 0.798887 20161
19 8649 2.21964 69115
1 9216 0.048072 3
4 9216 0.09134 29
7 9216 0.156635 189
10 9216 0.215936 885
13 9216 0.37611 5029
16 9216 0.962597 25795
19 9216 2.18397 65897
1 9801 0.048334 3
4 9801 0.095904 31
7 9801 0.158045 201
10 9801 0.231441 1125
13 9801 0.420422 6417
16 9801 0.756144 17265
19 9801 2.78925 84395
