1 3 0.00033 3
2 4 0.000424 7
3 5 0.000536 15
4 6 0.000659 31
5 7 0.001092 63
6 8 0.001657 127
7 9 0.002921 255
8 10 0.005209 511
9 11 0.009555 1023
10 12 0.018776 2047
11 13 0.036712 4095
12 14 0.071887 8191
13 15 0.143572 16383
14 16 0.285025 32767
15 17 0.568665 65535
16 18 1.1426 131071
17 19 2.28799 262143
18 20 4.60307 524287
19 21 9.17257 1048575
20 22 18.1408 2097151
21 23 35.8264 4194303
22 24 71.4189 8388607
23 25 142.243 16777215
24 26 288.18 33554431
25 27 581.047 67108863
26 28 1146.35 134217727
27 29 2287.09 268435455
