n v tiempo llamadas
1 1 0.000346 3
2 1 0.000484 7
3 1 0.000624 15
4 1 0.000929 31
5 1 0.001223 63
6 1 0.001997 127
7 1 0.003195 255
8 1 0.005938 511
9 1 0.010645 1023
10 1 0.020148 2047
11 1 0.039496 4095
12 1 0.077331 8191
13 1 0.154238 16383
14 1 0.307561 32767
15 1 0.610096 65535
16 1 1.25472 131071
17 1 2.43458 262143
18 1 4.79236 524287
19 1 9.34493 1048575
20 1 18.4685 2097151
21 1 36.4263 4194303
22 1 72.8117 8388607
23 1 144.441 16777215
24 1 285.528 33554431
25 1 587.863 67108863
26 1 1176.93 134217727
27 1 2312.81 268435455
28 1 4626.51 536870911
29 1 9167.7 1073741823
1 16 0.000391 3
2 16 0.000413 7
3 16 0.000427 15
4 16 0.000923 31
5 16 0.001293 63
6 16 0.002074 127
7 16 0.003109 255
8 16 0.006093 511
9 16 0.010443 1023
10 16 0.020869 2047
11 16 0.039346 4095
12 16 0.078203 8191
13 16 0.154497 16383
14 16 0.30637 32767
15 16 0.614657 65535
16 16 1.23732 131071
17 16 2.44405 262143
18 16 4.76896 524287
19 16 9.26826 1048575
20 16 18.3446 2097151
21 16 36.3289 4194303
22 16 72.8181 8388607
23 16 143.549 16777215
24 16 286.301 33554431
25 16 585.23 67108863
26 16 1149.97 134217727
27 16 2338.32 268435455
28 16 4640.65 536870911
29 16 9233.34 1073741823
1 49 0.000252 3
2 49 0.000304 7
3 49 0.000448 15
4 49 0.000757 31
5 49 0.001166 63
6 49 0.00198 127
7 49 0.003175 255
8 49 0.005775 511
9 49 0.010441 1023
10 49 0.030957 2047
11 49 0.040639 4095
12 49 0.078312 8191
13 49 0.154066 16383
14 49 0.306696 32767
15 49 0.613421 65535
16 49 1.2326 131071
17 49 2.42617 262143
18 49 4.78719 524287
19 49 9.27698 1048575
20 49 18.7868 2097151
21 49 36.6417 4194303
22 49 72.588 8388607
23 49 144.132 16777215
24 49 286.475 33554431
25 49 581.24 67108863
26 49 1143.36 134217727
27 49 2331.69 268435455
28 49 4629.14 536870911
29 49 9159.45 1073741823
1 100 0.00039 3
2 100 0.000458 7
3 100 0.000563 15
4 100 0.000717 31
5 100 0.001126 63
6 100 0.001841 127
7 100 0.003067 255
8 100 0.005645 511
9 100 0.010382 1023
10 100 0.020409 2047
11 100 0.062114 4095
12 100 0.077926 8191
13 100 0.15469 16383
14 100 0.305519 32767
15 100 0.61193 65535
16 100 1.23414 131071
17 100 2.41719 262143
18 100 4.76194 524287
19 100 9.35055 1048575
20 100 18.3781 2097151
21 100 36.209 4194303
22 100 72.2457 8388607
23 100 146.58 16777215
24 100 288.915 33554431
25 100 580.695 67108863
26 100 1146.35 134217727
27 100 2339.02 268435455
28 100 4621.81 536870911
29 100 9178.12 1073741823
1 169 0.000311 3
2 169 0.000527 7
3 169 0.000515 15
4 169 0.001042 31
5 169 0.001318 63
6 169 0.001771 127
7 169 0.003279 255
8 169 0.005543 511
9 169 0.010328 1023
10 169 0.020062 2047
11 169 0.038916 4095
12 169 0.077723 8191
13 169 0.154204 16383
14 169 0.306844 32767
15 169 0.612478 65535
16 169 1.23551 131071
17 169 2.45245 262143
18 169 4.83497 524287
19 169 9.59007 1048575
20 169 18.61 2097151
21 169 36.215 4194303
22 169 72.5468 8388607
23 169 144.09 16777215
24 169 285.894 33554431
25 169 580.757 67108863
26 169 1143.37 134217727
27 169 2328.1 268435455
28 169 4631.29 536870911
29 169 9191.89 1073741823
1 256 0.00029 3
2 256 0.000402 7
3 256 0.000496 15
4 256 0.000711 31
5 256 0.00122 63
6 256 0.001842 127
7 256 0.003169 255
8 256 0.005615 511
9 256 0.010497 1023
10 256 0.020358 2047
11 256 0.039374 4095
12 256 0.077684 8191
13 256 0.155505 16383
14 256 0.306809 32767
15 256 0.612412 65535
16 256 1.22629 131071
17 256 2.42533 262143
18 256 4.70208 524287
19 256 9.30344 1048575
20 256 19.2495 2097151
21 256 36.0599 4194303
22 256 72.5469 8388607
23 256 143.916 16777215
24 256 285.834 33554431
25 256 586.339 67108863
26 256 1143.06 134217727
27 256 2328.78 268435455
28 256 4613.01 536870911
29 256 9191.66 1073741823
1 361 0.000328 3
2 361 0.00041 7
3 361 0.000524 15
4 361 0.000732 31
5 361 0.001137 63
6 361 0.001983 127
7 361 0.002998 255
8 361 0.005689 511
9 361 0.010207 1023
10 361 0.020065 2047
11 361 0.039735 4095
12 361 0.077595 8191
13 361 0.153712 16383
14 361 0.306654 32767
15 361 0.623813 65535
16 361 1.2804 131071
17 361 2.46726 262143
18 361 4.74735 524287
19 361 9.33956 1048575
20 361 18.5191 2097151
21 361 36.2371 4194303
22 361 72.4219 8388607
23 361 143.987 16777215
24 361 291.395 33554431
25 361 580.335 67108863
26 361 1150.84 134217727
27 361 2330.42 268435455
28 361 4622.59 536870911
29 361 9147.72 1073741823
1 484 0.000318 3
2 484 0.000421 7
3 484 0.000591 15
4 484 0.000786 31
5 484 0.001233 63
6 484 0.001866 127
7 484 0.00318 255
8 484 0.005472 511
9 484 0.010589 1023
10 484 0.020037 2047
11 484 0.039251 4095
12 484 0.077688 8191
13 484 0.153753 16383
14 484 0.320407 32767
15 484 0.617643 65535
16 484 1.2279 131071
17 484 2.49619 262143
18 484 4.81427 524287
19 484 9.42841 1048575
20 484 18.378 2097151
21 484 36.8735 4194303
22 484 72.3921 8388607
23 484 144.195 16777215
24 484 286.896 33554431
25 484 583.23 67108863
26 484 1153.2 134217727
27 484 2378.28 268435455
28 484 4621.1 536870911
29 484 9161.57 1073741823
1 625 0.000265 3
2 625 0.000402 7
3 625 0.000592 15
4 625 0.000759 31
5 625 0.001151 63
6 625 0.001848 127
7 625 0.002991 255
8 625 0.005437 511
9 625 0.010543 1023
10 625 0.020101 2047
11 625 0.039119 4095
12 625 0.077232 8191
13 625 0.163139 16383
14 625 0.305782 32767
15 625 0.62648 65535
16 625 1.22497 131071
17 625 2.44556 262143
18 625 4.7457 524287
19 625 9.42774 1048575
20 625 18.3502 2097151
21 625 36.1923 4194303
22 625 72.4276 8388607
23 625 143.67 16777215
24 625 286.776 33554431
25 625 576.833 67108863
26 625 1148.63 134217727
27 625 2320.54 268435455
28 625 4665.44 536870911
29 625 9144.64 1073741823
1 784 0.000323 3
2 784 0.000331 7
3 784 0.000453 15
4 784 0.000688 31
5 784 0.001096 63
6 784 0.001884 127
7 784 0.003094 255
8 784 0.005501 511
9 784 0.010438 1023
10 784 0.019918 2047
11 784 0.040388 4095
12 784 0.07762 8191
13 784 0.15568 16383
14 784 0.305281 32767
15 784 0.622765 65535
16 784 1.22368 131071
17 784 2.50237 262143
18 784 4.76947 524287
19 784 9.32171 1048575
20 784 18.397 2097151
21 784 36.4483 4194303
22 784 72.0873 8388607
23 784 144.092 16777215
24 784 286.404 33554431
25 784 576.628 67108863
26 784 1169.72 134217727
27 784 2318.31 268435455
28 784 4613.43 536870911
29 784 9149.6 1073741823
1 961 0.000323 3
2 961 0.000412 7
3 961 0.000629 15
4 961 0.000625 31
5 961 0.001115 63
6 961 0.001685 127
7 961 0.003182 255
8 961 0.005531 511
9 961 0.010481 1023
10 961 0.019963 2047
11 961 0.039057 4095
12 961 0.077639 8191
13 961 0.152974 16383
14 961 0.310207 32767
15 961 0.622388 65535
16 961 1.22402 131071
17 961 2.43843 262143
18 961 4.77053 524287
19 961 9.24735 1048575
20 961 18.3307 2097151
21 961 36.1867 4194303
22 961 72.6907 8388607
23 961 143.604 16777215
24 961 286.256 33554431
25 961 580.795 67108863
26 961 1143.97 134217727
27 961 2334.79 268435455
28 961 4614.08 536870911
29 961 9168.93 1073741823
1 1156 0.000259 3
2 1156 0.000404 7
3 1156 0.000463 15
4 1156 0.000741 31
5 1156 0.001234 63
6 1156 0.001725 127
7 1156 0.003014 255
8 1156 0.005478 511
9 1156 0.010536 1023
10 1156 0.020266 2047
11 1156 0.039035 4095
12 1156 0.077529 8191
13 1156 0.176717 16383
14 1156 0.306507 32767
15 1156 0.611138 65535
16 1156 1.22559 131071
17 1156 2.45438 262143
18 1156 4.72297 524287
19 1156 9.3178 1048575
20 1156 18.5161 2097151
21 1156 36.4558 4194303
22 1156 72.5892 8388607
23 1156 144.582 16777215
24 1156 288.906 33554431
25 1156 582.491 67108863
26 1156 1153.15 134217727
27 1156 2340.49 268435455
28 1156 4598.56 536870911
29 1156 9166.5 1073741823
1 1369 0.000587 3
2 1369 0.000376 7
3 1369 0.000577 15
4 1369 0.000664 31
5 1369 0.001245 63
6 1369 0.001723 127
7 1369 0.003161 255
8 1369 0.005718 511
9 1369 0.010196 1023
10 1369 0.020268 2047
11 1369 0.038757 4095
12 1369 0.077149 8191
13 1369 0.153585 16383
14 1369 0.306321 32767
15 1369 0.619944 65535
16 1369 1.22909 131071
17 1369 2.52705 262143
18 1369 4.81377 524287
19 1369 9.19642 1048575
20 1369 18.5028 2097151
21 1369 36.0621 4194303
22 1369 72.4092 8388607
23 1369 144.319 16777215
24 1369 288.155 33554431
25 1369 577.098 67108863
26 1369 1144.05 134217727
27 1369 2332.27 268435455
28 1369 4650.45 536870911
29 1369 9153.01 1073741823
1 1600 0.000286 3
2 1600 0.000352 7
3 1600 0.000471 15
4 1600 0.000699 31
5 1600 0.001085 63
6 1600 0.001744 127
7 1600 0.003005 255
8 1600 0.005538 511
9 1600 0.010148 1023
10 1600 0.019832 2047
11 1600 0.039371 4095
12 1600 0.095021 8191
13 1600 0.153827 16383
14 1600 0.311897 32767
15 1600 0.610349 65535
16 1600 1.24616 131071
17 1600 2.47673 262143
18 1600 4.71216 524287
19 1600 9.62189 1048575
20 1600 18.5659 2097151
21 1600 36.3015 4194303
22 1600 72.7401 8388607
23 1600 144.059 16777215
24 1600 286.334 33554431
25 1600 580.166 67108863
26 1600 1144.1 134217727
27 1600 2316.35 268435455
28 1600 4611.15 536870911
29 1600 9165.87 1073741823
1 1849 0.000321 3
2 1849 0.000272 7
3 1849 0.000543 15
4 1849 0.000797 31
5 1849 0.001143 63
6 1849 0.001889 127
7 1849 0.004449 255
8 1849 0.005406 511
9 1849 0.010293 1023
10 1849 0.019794 2047
11 1849 0.059129 4095
12 1849 0.077637 8191
13 1849 0.15387 16383
14 1849 0.323418 32767
15 1849 0.610619 65535
16 1849 1.22348 131071
17 1849 2.44928 262143
18 1849 4.81405 524287
19 1849 9.34311 1048575
20 1849 18.3242 2097151
21 1849 36.078 4194303
22 1849 72.8678 8388607
23 1849 144.188 16777215
24 1849 285.632 33554431
25 1849 577.239 67108863
26 1849 1146.88 134217727
27 1849 2380.66 268435455
28 1849 4617.32 536870911
29 1849 9230.37 1073741823
1 2116 0.000305 3
2 2116 0.000261 7
3 2116 0.000553 15
4 2116 0.000691 31
5 2116 0.001039 63
6 2116 0.001808 127
7 2116 0.003029 255
8 2116 0.00561 511
9 2116 0.010319 1023
10 2116 0.020032 2047
11 2116 0.039468 4095
12 2116 0.125609 8191
13 2116 0.15346 16383
14 2116 0.306093 32767
15 2116 0.64145 65535
16 2116 1.22383 131071
17 2116 2.46022 262143
18 2116 4.85626 524287
19 2116 9.56901 1048575
20 2116 18.2088 2097151
21 2116 36.0542 4194303
22 2116 72.7777 8388607
23 2116 143.698 16777215
24 2116 286.634 33554431
25 2116 579.565 67108863
26 2116 1149.55 134217727
27 2116 2333.76 268435455
28 2116 4610.14 536870911
29 2116 9162.88 1073741823
1 2401 0.000233 3
2 2401 0.0004 7
3 2401 0.000676 15
4 2401 0.00078 31
5 2401 0.001571 63
6 2401 0.001595 127
7 2401 0.003027 255
8 2401 0.005351 511
9 2401 0.010618 1023
10 2401 0.01977 2047
11 2401 0.038967 4095
12 2401 0.077121 8191
13 2401 0.153979 16383
14 2401 0.305335 32767
15 2401 0.612024 65535
16 2401 1.24063 131071
17 2401 2.41128 262143
18 2401 4.71584 524287
19 2401 9.48883 1048575
20 2401 18.4523 2097151
21 2401 36.7015 4194303
22 2401 72.8688 8388607
23 2401 143.396 16777215
24 2401 285.696 33554431
25 2401 585.926 67108863
26 2401 1143.56 134217727
