2 1 0.000377 5
3 2 0.000593 13
4 3 0.000923 29
5 4 0.001289 61
6 5 0.002167 125
7 6 0.003726 253
8 7 0.006559 509
9 8 0.012104 1021
10 9 0.023141 2045
11 10 0.045575 4093
12 11 0.089201 8189
13 12 0.177228 16381
14 13 0.352859 32765
15 14 0.734199 65533
16 15 1.43025 131069
17 16 2.85403 262141
18 17 5.63007 524285
19 18 11.144 1048573
20 19 22.2377 2097149
21 20 44.6655 4194301
22 21 88.3925 8388605
23 22 176.866 16777213
24 23 353.907 33554429
25 24 708.195 67108861
26 25 1412.8 134217725
27 26 2827.06 268435453
28 27 5644.37 536870909
29 28 11291.3 1073741821
