n v tiempo llamadas
5 784 0.001036 63
6 784 0.001803 127
7 784 0.003073 255
8 784 0.00562 511
9 784 0.010544 1023
10 784 0.020051 2047
11 784 0.039424 4095
12 784 0.077629 8191
13 784 0.164181 16383
14 784 0.305029 32767
15 784 0.617237 65535
16 784 1.263 131071
17 784 2.43571 262143
18 784 4.77798 524287
19 784 9.28685 1048575
20 784 18.4819 2097151
21 784 36.2828 4194303
22 784 72.7267 8388607
23 784 145.938 16777215
24 784 285.968 33554431
25 784 584.544 67108863
26 784 1166.39 134217727
27 784 2310.76 268435455
28 784 4644.88 536870911
29 784 9164.98 1073741823
1 961 0.000313 3
2 961 0.000356 7
3 961 0.000437 15
4 961 0.000621 31
5 961 0.001107 63
6 961 0.001764 127
7 961 0.003076 255
8 961 0.005632 511
9 961 0.010402 1023
10 961 0.020134 2047
11 961 0.039348 4095
12 961 0.103119 8191
13 961 0.154083 16383
14 961 0.30582 32767
15 961 0.611314 65535
16 961 1.23441 131071
17 961 2.41822 262143
18 961 4.83551 524287
19 961 9.49193 1048575
20 961 18.4557 2097151
21 961 36.1857 4194303
22 961 72.8662 8388607
23 961 144.551 16777215
24 961 291.187 33554431
25 961 583.445 67108863
26 961 1145.35 134217727
27 961 2331.61 268435455
28 961 4623.9 536870911
29 961 9233.25 1073741823
1 1156 0.000347 3
2 1156 0.000349 7
3 1156 0.00045 15
4 1156 0.000675 31
5 1156 0.001177 63
6 1156 0.001721 127
7 1156 0.002899 255
8 1156 0.005624 511
9 1156 0.010425 1023
10 1156 0.019941 2047
11 1156 0.039178 4095
12 1156 0.077155 8191
13 1156 0.153478 16383
14 1156 0.317824 32767
15 1156 0.610839 65535
16 1156 1.23633 131071
17 1156 2.43558 262143
18 1156 4.70411 524287
19 1156 9.38775 1048575
20 1156 18.4527 2097151
21 1156 36.0762 4194303
22 1156 73.0598 8388607
23 1156 143.341 16777215
24 1156 294.874 33554431
25 1156 575.577 67108863
26 1156 1145.9 134217727
27 1156 2329.28 268435455
28 1156 4615.26 536870911
29 1156 9161.46 1073741823
1 1369 0.000361 3
2 1369 0.000356 7
3 1369 0.000597 15
4 1369 0.000777 31
5 1369 0.00109 63
6 1369 0.0025 127
7 1369 0.002903 255
8 1369 0.008756 511
9 1369 0.010459 1023
10 1369 0.019725 2047
11 1369 0.039661 4095
12 1369 0.079586 8191
13 1369 0.153231 16383
14 1369 0.306637 32767
15 1369 0.611035 65535
16 1369 1.22349 131071
17 1369 2.46352 262143
18 1369 4.80164 524287
19 1369 9.38367 1048575
20 1369 18.329 2097151
21 1369 36.09 4194303
22 1369 73.0106 8388607
23 1369 143.754 16777215
24 1369 286.59 33554431
25 1369 587.627 67108863
26 1369 1143.68 134217727
27 1369 2340.08 268435455
28 1369 4644.88 536870911
29 1369 9150.8 1073741823
1 1600 0.000334 3
2 1600 0.000386 7
3 1600 0.000713 15
4 1600 0.000673 31
5 1600 0.001064 63
6 1600 0.001972 127
7 1600 0.003136 255
8 1600 0.005522 511
9 1600 0.010512 1023
10 1600 0.020195 2047
11 1600 0.039177 4095
12 1600 0.076797 8191
13 1600 0.155389 16383
14 1600 0.305309 32767
15 1600 0.610311 65535
16 1600 1.22479 131071
17 1600 2.4584 262143
18 1600 4.76262 524287
19 1600 9.66376 1048575
20 1600 18.3315 2097151
21 1600 36.2739 4194303
22 1600 72.3503 8388607
23 1600 143.922 16777215
24 1600 285.985 33554431
25 1600 576.752 67108863
26 1600 1145.66 134217727
27 1600 2313.56 268435455
28 1600 4644.19 536870911
29 1600 9181.49 1073741823
1 1849 0.000334 3
2 1849 0.000447 7
3 1849 0.000592 15
4 1849 0.001124 31
5 1849 0.001123 63
6 1849 0.002477 127
7 1849 0.003053 255
8 1849 0.005576 511
9 1849 0.010576 1023
10 1849 0.019771 2047
11 1849 0.039052 4095
12 1849 0.078475 8191
13 1849 0.154954 16383
14 1849 0.306098 32767
15 1849 0.611434 65535
16 1849 1.22363 131071
17 1849 2.47833 262143
18 1849 4.77408 524287
19 1849 9.28853 1048575
20 1849 18.5288 2097151
21 1849 36.8563 4194303
22 1849 72.6184 8388607
23 1849 143.152 16777215
24 1849 286.729 33554431
25 1849 581.26 67108863
26 1849 1155.66 134217727
27 1849 2323.43 268435455
28 1849 4629.1 536870911
29 1849 9166.67 1073741823
1 2116 0.000495 3
2 2116 0.000308 7
3 2116 0.000534 15
4 2116 0.000846 31
5 2116 0.001797 63
6 2116 0.001909 127
