n v tiempo llamadas
4 1024 0.012933 31
7 1024 0.022059 249
10 1024 0.052886 1505
13 1024 0.136215 4167
16 1024 0.339817 11197
19 1024 0.539142 18153
22 1024 0.721232 23553
25 1024 0.945784 30467
28 1024 1.05257 34445
31 1024 1.30173 42657
34 1024 1.5 48177
37 1024 1.683 54029
40 1024 1.85136 60319
43 1024 2.01909 67055
46 1024 2.24061 73117
49 1024 2.34745 78077
52 1024 2.62269 86001
55 1024 2.83264 92619
58 1024 2.99035 96595
61 1024 3.18478 104871
64 1024 3.29654 109575
67 1024 3.41545 114311
70 1024 3.60537 121279
73 1024 3.87162 127007
76 1024 3.86951 134139
79 1024 4.193 140541
1 1225 0.01144 3
4 1225 0.014468 31
7 1225 0.024528 253
10 1225 0.059821 1667
13 1225 0.170883 4675
16 1225 0.381058 12045
19 1225 0.654187 20985
22 1225 0.806232 26343
25 1225 1.14718 36113
28 1225 1.32996 42867
31 1225 1.58423 50671
34 1225 1.76907 57291
37 1225 2.04547 64001
40 1225 2.20349 71125
43 1225 2.47139 79171
46 1225 2.65465 86419
49 1225 2.81665 92847
52 1225 3.06203 100693
55 1225 3.31093 109367
58 1225 3.40941 114669
61 1225 3.73014 122153
64 1225 3.99096 130693
67 1225 4.10124 137807
70 1225 4.3173 145467
73 1225 4.5987 151963
76 1225 4.76676 159641
79 1225 5.02206 168391
1 1444 0.011768 3
4 1444 0.016234 31
7 1444 0.028104 237
10 1444 0.052818 969
13 1444 0.186377 5991
16 1444 0.501234 16117
19 1444 0.67837 21905
22 1444 0.936295 30079
25 1444 1.20577 38655
28 1444 1.54794 49761
31 1444 1.85887 59341
34 1444 1.98335 65313
37 1444 2.33746 72729
40 1444 2.51882 82339
43 1444 2.87214 92341
46 1444 3.12074 99611
49 1444 3.41947 111191
52 1444 3.6324 118191
55 1444 3.78537 127299
58 1444 4.12623 136597
61 1444 4.21328 141793
64 1444 4.62766 152047
67 1444 4.8463 161799
70 1444 4.90228 166881
73 1444 5.26246 179121
76 1444 5.47836 187437
79 1444 5.77001 195791
1 1681 0.012465 3
4 1681 0.021697 27
7 1681 0.03004 225
10 1681 0.069552 1439
13 1681 0.228148 7163
16 1681 0.504972 15965
19 1681 0.784337 25329
22 1681 1.03587 33471
25 1681 1.47295 46463
28 1681 1.65912 53851
31 1681 2.10813 66763
34 1681 2.35148 76157
37 1681 2.68487 87151
40 1681 2.93042 95853
43 1681 3.18006 105719
46 1681 3.5422 113623
49 1681 3.72728 123211
52 1681 4.27099 139309
55 1681 4.38781 145477
58 1681 4.67998 155723
61 1681 5.04343 166897
64 1681 5.20762 176939
67 1681 5.59474 187359
70 1681 5.77615 198269
73 1681 6.10514 205447
76 1681 6.44836 216299
79 1681 6.63329 227877
1 1936 0.01472 3
4 1936 0.02106 31
7 1936 0.034088 227
10 1936 0.070872 1277
13 1936 0.212243 5759
16 1936 0.53752 17485
19 1936 0.8148 26133
22 1936 1.24198 39405
25 1936 1.65603 52923
28 1936 1.95274 62493
31 1936 2.34318 75875
34 1936 2.66375 84585
37 1936 2.98047 99777
40 1936 3.31263 110077
43 1936 3.80692 122457
46 1936 3.97786 132979
49 1936 4.42975 146499
52 1936 4.72203 156157
55 1936 5.03574 170593
58 1936 5.21009 178141
61 1936 5.63445 190301
64 1936 6.0472 202479
67 1936 6.25376 212473
70 1936 6.51588 227289
73 1936 6.78932 237447
76 1936 7.23766 250657
79 1936 7.62734 259451
1 2209 0.016696 3
4 2209 0.02295 31
7 2209 0.039049 241
10 2209 0.068419 1277
13 2209 0.256254 7163
16 2209 0.583909 17753
19 2209 1.06886 32831
22 2209 1.44544 45521
25 2209 1.72222 53773
28 2209 2.19096 69331
31 2209 2.84459 89347
34 2209 3.13302 100319
37 2209 3.36726 110823
40 2209 3.83091 123331
43 2209 4.24026 137605
46 2209 4.35525 146527
49 2209 4.99637 166329
52 2209 5.34532 180331
55 2209 5.6247 190837
58 2209 6.0696 206213
61 2209 6.20107 214349
64 2209 6.74759 229379
67 2209 7.25568 244853
70 2209 7.55029 259871
73 2209 7.94454 270517
76 2209 8.15221 280769
79 2209 8.5337 294985
1 2500 0.01664 3
4 2500 0.026376 31
7 2500 0.040845 235
10 2500 0.083699 1651
13 2500 0.258133 6881
16 2500 0.617873 18721
19 2500 1.22408 36757
22 2500 1.47862 47515
25 2500 1.92921 62261
28 2500 2.41378 79405
31 2500 2.97981 96037
34 2500 3.31131 108727
37 2500 3.71675 122583
40 2500 4.32022 135203
43 2500 4.88189 157609
46 2500 5.06361 171215
49 2500 5.63291 186993
52 2500 5.91736 201137
55 2500 6.3079 213913
58 2500 6.58206 227081
61 2500 7.20804 243407
64 2500 7.56595 259095
67 2500 7.97333 275829
70 2500 8.42173 287927
73 2500 8.66122 303363
76 2500 9.27091 320567
79 2500 9.72529 337727
1 2809 0.019063 3
4 2809 0.027589 31
7 2809 0.044608 221
10 2809 0.093067 1289
13 2809 0.293251 7605
16 2809 0.683284 20373
19 2809 1.26888 40269
22 2809 1.68611 53695
25 2809 2.28099 73975
28 2809 2.69276 85797
31 2809 3.36053 106101
34 2809 3.82179 120897
37 2809 4.19348 137357
40 2809 4.61363 154591
43 2809 5.21643 173693
46 2809 5.70268 189893
49 2809 6.12467 203263
52 2809 7.0414 222521
55 2809 7.10735 240765
58 2809 7.63658 257367
61 2809 8.11399 276457
64 2809 8.32472 290061
67 2809 8.72584 299731
70 2809 9.39218 324109
73 2809 9.65016 336661
