2 1 0.000413 5
3 2 0.00073 13
4 3 0.001131 29
5 4 0.001704 61
6 5 0.002601 125
7 6 0.004557 253
8 7 0.008451 509
9 8 0.015723 1021
10 9 0.030572 2045
11 10 0.059905 4093
12 11 0.128515 8189
13 12 0.236375 16381
14 13 0.47255 32765
15 14 0.954748 65533
16 15 1.86368 131069
17 16 3.69305 262141
18 17 7.22167 524285
19 18 14.0676 1048573
20 19 27.8751 2097149
21 20 57.6669 4194301
22 21 110.068 8388605
23 22 221.309 16777213
24 23 456.917 33554429
25 24 886.026 67108861
26 25 1792.55 134217725
27 26 3541.82 268435453
28 27 7031.35 536870909
29 28 14028.6 1073741821
