1 3600 0.000314 3
4 3600 0.000718 16
7 3600 0.000964 36
10 3600 0.001558 76
13 3600 0.002941 165
16 3600 0.002517 165
19 3600 0.005194 364
1 3969 0.000316 3
4 3969 0.0008 19
7 3969 0.000937 38
10 3969 0.002052 98
13 3969 0.002287 136
16 3969 0.002986 191
19 3969 0.003605 244
1 4356 0.000337 3
4 4356 0.000626 15
7 4356 0.00096 30
10 4356 0.001395 75
13 4356 0.00332 204
16 4356 0.003568 218
19 4356 0.004343 299
1 4761 0.000318 3
4 4761 0.000647 15
7 4761 0.001026 39
10 4761 0.001528 66
13 4761 0.002751 156
16 4761 0.002548 166
19 4761 0.00818 600
1 5184 0.000315 3
4 5184 0.00063 15
7 5184 0.001119 41
10 5184 0.001469 73
13 5184 0.002636 151
16 5184 0.002925 191
19 5184 0.004798 337
1 5625 0.000332 3
4 5625 0.000628 15
7 5625 0.001497 55
10 5625 0.002187 115
13 5625 0.001785 105
16 5625 0.003336 210
19 5625 0.005574 384
1 6084 0.000348 3
4 6084 0.000796 15
7 6084 0.001046 39
10 6084 0.001773 87
13 6084 0.003547 222
16 6084 0.004291 289
19 6084 0.006044 408
1 6561 0.000331 3
4 6561 0.000782 20
7 6561 0.000949 36
10 6561 0.001866 90
13 6561 0.002868 174
16 6561 0.004163 270
19 6561 0.002976 210
1 7056 0.000319 3
4 7056 0.000678 16
7 7056 0.000919 36
10 7056 0.001724 80
13 7056 0.003073 182
16 7056 0.003308 216
19 7056 0.004107 287
1 7569 0.000371 3
4 7569 0.000698 15
7 7569 0.001004 37
10 7569 0.001308 66
13 7569 0.00239 135
16 7569 0.005369 338
19 7569 0.003783 256
1 8100 0.00034 3
4 8100 0.000629 15
7 8100 0.000947 36
10 8100 0.001511 75
13 8100 0.002869 160
16 8100 0.003027 186
19 8100 0.006908 487
1 8649 0.000335 3
4 8649 0.000804 17
7 8649 0.001136 39
10 8649 0.001962 98
13 8649 0.001906 113
16 8649 0.003678 228
19 8649 0.003309 228
1 9216 0.000347 3
4 9216 0.000629 15
7 9216 0.001324 54
10 9216 0.001937 99
13 9216 0.001873 110
16 9216 0.003015 198
19 9216 0.00527 371
1 9801 0.000347 3
4 9801 0.000622 15
7 9801 0.001253 46
10 9801 0.001782 84
13 9801 0.002736 166
16 9801 0.002823 181
19 9801 0.003782 250
