n v tiempo llamadas
7 1024 0.003351 178
10 1024 0.006676 365
13 1024 0.012647 698
16 1024 0.018573 1087
19 1024 0.068274 3449
22 1024 0.034909 1657
25 1024 0.142132 8580
28 1024 0.171598 8759
31 1024 0.319074 16933
34 1024 0.312486 17265
37 1024 0.186856 10179
40 1024 0.471137 26138
43 1024 0.898261 46340
46 1024 1.43037 73568
49 1024 0.552783 31444
52 1024 1.07469 54296
55 1024 0.525163 24048
58 1024 1.59971 86969
61 1024 0.871036 40246
64 1024 0.957421 50645
67 1024 2.42328 136479
70 1024 0.811538 39636
73 1024 5.22934 298801
76 1024 1.57653 84347
79 1024 1.15006 57499
1 1225 0.000784 3
4 1225 0.001044 27
7 1225 0.00273 123
10 1225 0.011817 616
13 1225 0.005038 259
16 1225 0.022405 1180
19 1225 0.047511 3083
22 1225 0.143541 8412
25 1225 0.164276 8962
28 1225 0.228508 12529
31 1225 0.083984 4134
34 1225 0.13967 7167
37 1225 0.482797 31223
40 1225 0.240338 14763
43 1225 0.19941 9740
46 1225 0.364438 16896
49 1225 0.690645 32546
52 1225 1.32708 75721
55 1225 0.560823 29020
58 1225 1.38082 84357
61 1225 3.0004 169744
64 1225 0.457629 25164
67 1225 0.766569 36523
70 1225 0.94026 48317
73 1225 1.57926 88006
76 1225 1.01521 49101
79 1225 1.15759 57527
1 1444 0.000478 3
4 1444 0.000876 23
7 1444 0.002163 81
10 1444 0.002026 85
13 1444 0.011915 677
16 1444 0.055154 3071
19 1444 0.021746 1246
22 1444 0.125458 6476
25 1444 0.033676 2108
28 1444 0.434429 24762
31 1444 0.331 16694
34 1444 0.203323 12518
37 1444 0.211431 13430
40 1444 0.343821 22354
43 1444 0.741343 40108
46 1444 0.964465 57469
49 1444 1.84474 102971
52 1444 1.64271 87818
55 1444 0.474453 24083
58 1444 0.563033 25245
61 1444 0.779044 47348
64 1444 0.647939 31892
67 1444 6.14996 311213
70 1444 2.43336 149026
73 1444 4.9072 269258
76 1444 5.31588 292333
79 1444 4.69496 272036
1 1681 0.000472 3
4 1681 0.000918 20
7 1681 0.001818 65
10 1681 0.005835 295
13 1681 0.013413 741
16 1681 0.024934 1583
19 1681 0.02647 1627
22 1681 0.079816 3995
25 1681 0.345111 19793
28 1681 0.119601 6799
31 1681 0.424869 27517
34 1681 0.199585 11526
37 1681 0.743081 39983
40 1681 1.54367 85032
43 1681 0.578493 32790
46 1681 0.158693 9985
49 1681 0.903701 53248
52 1681 2.39651 130682
55 1681 0.344835 18316
58 1681 2.98228 157927
61 1681 2.08982 127093
64 1681 0.6146 30026
67 1681 0.743386 36668
70 1681 1.32903 69168
73 1681 0.678007 38404
76 1681 3.94726 207845
79 1681 1.56805 95785
1 1936 0.000446 3
4 1936 0.000994 25
7 1936 0.002001 77
10 1936 0.003448 159
13 1936 0.007342 366
16 1936 0.055261 3496
19 1936 0.019647 1128
22 1936 0.174427 11382
25 1936 0.132958 7848
28 1936 0.176852 10874
31 1936 0.197563 11775
34 1936 0.325925 16697
37 1936 0.371816 18974
40 1936 0.385293 23624
43 1936 0.832323 52115
46 1936 1.00574 56438
49 1936 1.08946 56570
52 1936 3.35549 175057
55 1936 2.56115 142491
58 1936 1.81627 99890
61 1936 2.01898 103170
64 1936 3.13663 176860
67 1936 2.43393 149979
70 1936 2.24338 127304
73 1936 2.01478 108544
76 1936 3.03102 151828
79 1936 6.58839 382001
1 2209 0.000416 3
4 2209 0.000984 31
7 2209 0.002335 87
10 2209 0.005638 273
13 2209 0.009832 582
16 2209 0.014127 770
19 2209 0.045445 2934
22 2209 0.061255 3352
25 2209 0.033525 1548
28 2209 0.043606 2769
31 2209 0.348071 18921
34 2209 0.5081 26341
37 2209 0.155418 8297
40 2209 0.903961 58112
43 2209 0.260156 14382
46 2209 0.167988 8683
49 2209 0.283435 16071
52 2209 0.963743 58208
55 2209 0.623245 35661
58 2209 0.550224 25317
61 2209 2.71575 153343
64 2209 3.32522 186108
67 2209 4.44103 250434
70 2209 4.39309 255284
73 2209 1.56327 86008
76 2209 2.42562 159256
79 2209 8.78212 485857
1 2500 0.000318 3
4 2500 0.000734 20
7 2500 0.00237 86
10 2500 0.007555 408
13 2500 0.0112 589
16 2500 0.011879 655
19 2500 0.052955 3542
22 2500 0.041697 2661
25 2500 0.031818 1924
28 2500 0.365476 22659
31 2500 0.347231 19459
34 2500 0.419518 27439
37 2500 0.636989 39284
40 2500 0.310517 19975
43 2500 1.47117 78849
46 2500 0.870365 48838
49 2500 0.917537 54019
52 2500 1.46323 86374
55 2500 0.404478 20871
58 2500 0.89331 51993
61 2500 2.59717 157359
64 2500 3.14019 205707
67 2500 4.25739 217655
70 2500 3.62988 212854
73 2500 3.8424 222807
76 2500 4.63466 265635
79 2500 4.12286 249010
1 2809 0.000402 3
