2 1 0.000386 5
3 2 0.000592 13
4 3 0.000873 29
5 4 0.001828 61
6 5 0.002163 125
7 6 0.003744 253
8 7 0.006577 509
9 8 0.012104 1021
10 9 0.022898 2045
11 10 0.045384 4093
12 11 0.089404 8189
13 12 0.177047 16381
14 13 0.353144 32765
15 14 0.706575 65533
16 15 2.13533 131069
17 16 2.84581 262141
18 17 5.64415 524285
19 18 11.0896 1048573
20 19 22.2539 2097149
21 20 44.392 4194301
22 21 88.5021 8388605
23 22 176.459 16777213
24 23 353.652 33554429
25 24 706.425 67108861
26 25 1420.34 134217725
27 26 2827.38 268435453
28 27 5655.32 536870909
29 28 11351.8 1073741821
