1 3 0.000386 3
2 4 0.00043 7
3 5 0.0006 15
4 6 0.000713 31
5 7 0.000993 63
6 8 0.001782 127
7 9 0.00294 255
8 10 0.005526 511
9 11 0.015983 1023
10 12 0.020093 2047
11 13 0.039349 4095
12 14 0.124351 8191
13 15 0.15743 16383
14 16 0.306323 32767
15 17 0.622422 65535
16 18 1.23051 131071
17 19 2.44966 262143
18 20 4.75559 524287
19 21 9.29997 1048575
20 22 18.0919 2097151
21 23 36.2053 4194303
22 24 74.5868 8388607
23 25 147.642 16777215
24 26 309.192 33554431
25 27 618.481 67108863
26 28 1142.18 134217727
27 29 2289.5 268435455
