n v tiempo llamadas
17 784 0.3682 11353
18 784 0.348262 11853
19 784 0.391069 13289
20 784 0.465908 16319
21 784 0.48052 16659
22 784 0.537225 18987
23 784 0.564396 20585
24 784 0.589309 21251
25 784 0.638879 23169
26 784 0.921505 24997
27 784 0.744332 26413
28 784 0.82028 28313
29 784 0.832922 29409
1 961 0.009274 3
2 961 0.007789 7
3 961 0.01088 15
4 961 0.013186 29
5 961 0.015308 57
6 961 0.017914 117
7 961 0.021398 249
8 961 0.027729 451
9 961 0.036713 773
10 961 0.044427 1041
11 961 0.072337 2029
12 961 0.107881 3805
13 961 0.179832 5789
14 961 0.214895 6963
15 961 0.228326 7527
16 961 0.324891 10417
17 961 0.412811 13765
18 961 0.456315 14927
19 961 0.495727 16781
20 961 0.492097 17195
21 961 0.609587 21481
22 961 0.617378 21503
23 961 0.702792 24369
24 961 0.696741 25019
25 961 0.858744 29551
26 961 0.866324 29993
27 961 0.882493 31893
28 961 0.939646 33179
29 961 0.980047 34359
1 1156 0.00951 3
2 1156 0.013166 7
3 1156 0.012961 15
4 1156 0.014833 31
5 1156 0.016894 59
6 1156 0.019659 109
7 1156 0.023486 241
8 1156 0.029727 371
9 1156 0.039469 781
10 1156 0.053909 1373
11 1156 0.087232 2307
12 1156 0.099214 2715
13 1156 0.125609 3629
14 1156 0.236636 7891
15 1156 0.307508 9993
16 1156 0.31055 9699
17 1156 0.452456 13845
18 1156 0.478412 15651
19 1156 0.538399 17977
20 1156 0.614236 20599
21 1156 0.749118 26197
22 1156 0.72918 24801
23 1156 0.82528 28589
24 1156 0.908108 31175
25 1156 0.97118 33001
26 1156 1.44703 36527
27 1156 1.08171 37331
28 1156 1.19555 40201
29 1156 1.25195 43559
1 1369 0.011181 3
2 1369 0.010935 7
3 1369 0.014519 15
4 1369 0.016256 31
5 1369 0.018627 63
6 1369 0.022909 117
7 1369 0.026591 219
8 1369 0.033225 441
9 1369 0.044434 915
10 1369 0.057672 1249
11 1369 0.09424 2763
12 1369 0.142849 4753
13 1369 0.182952 5747
14 1369 0.240816 7529
15 1369 0.306536 9769
16 1369 0.3725 11781
17 1369 0.486413 15865
18 1369 0.544053 17649
19 1369 0.637396 21617
20 1369 0.734817 25083
21 1369 0.805314 28107
22 1369 0.866777 29931
23 1369 0.957077 33343
24 1369 1.01643 34955
25 1369 1.15721 38733
26 1369 1.14938 38933
27 1369 1.35791 45731
28 1369 1.32265 45011
29 1369 1.48122 50177
1 1600 0.012181 3
2 1600 0.012923 7
3 1600 0.016456 15
4 1600 0.021259 29
5 1600 0.021677 63
6 1600 0.024367 115
7 1600 0.034873 239
8 1600 0.03588 411
9 1600 0.046437 731
10 1600 0.063539 1283
11 1600 0.091475 2537
12 1600 0.130503 3885
13 1600 0.186413 5723
14 1600 0.292199 9475
15 1600 0.32623 10619
16 1600 0.479463 15931
17 1600 0.604779 19329
18 1600 0.685372 22681
19 1600 0.769511 25143
20 1600 0.837316 28683
21 1600 0.908736 30985
22 1600 1.02759 34097
23 1600 1.03127 35859
24 1600 1.16329 40105
25 1600 1.26582 43755
26 1600 1.47455 49983
27 1600 1.43844 49713
28 1600 1.52393 51751
29 1600 1.62825 56151
1 1849 0.013052 3
2 1849 0.014335 7
3 1849 0.018312 15
4 1849 0.020113 31
5 1849 0.023888 63
6 1849 0.028599 111
7 1849 0.03436 199
8 1849 0.040343 451
9 1849 0.052015 789
10 1849 0.067868 1273
11 1849 0.10408 2877
12 1849 0.129303 3761
13 1849 0.19699 6011
14 1849 0.284173 9257
15 1849 0.314734 9755
16 1849 0.501211 16419
17 1849 0.572807 17967
18 1849 0.724505 23937
19 1849 0.758936 25127
20 1849 0.848648 28689
21 1849 1.07147 36553
22 1849 1.18847 39261
23 1849 1.26178 43793
24 1849 1.38384 47165
25 1849 1.50615 52163
26 1849 2.03335 52779
27 1849 1.65125 56273
28 1849 1.84924 62227
29 1849 1.83275 63455
1 2116 0.013623 3
2 2116 0.016812 7
3 2116 0.020626 15
4 2116 0.025498 31
5 2116 0.032142 61
6 2116 0.033974 109
7 2116 0.043444 237
8 2116 0.04399 437
9 2116 0.057306 609
10 2116 0.074069 1277
11 2116 0.103774 2519
12 2116 0.158591 4571
13 2116 0.192375 5313
14 2116 0.305695 9509
15 2116 0.38988 11803
16 2116 0.586965 19019
17 2116 0.691364 21653
18 2116 0.758471 24665
19 2116 0.956977 29113
20 2116 1.02189 33981
21 2116 1.18464 40359
22 2116 1.29304 45233
23 2116 1.45368 50723
24 2116 1.48292 50865
25 2116 1.48061 50951
26 2116 1.8687 61881
27 2116 1.8276 64349
28 2116 1.91749 66013
29 2116 2.07287 69823
1 2401 0.015578 3
2 2401 0.016875 7
3 2401 0.021394 15
4 2401 0.025046 31
5 2401 0.029181 59
6 2401 0.034475 119
7 2401 0.042553 235
8 2401 0.048521 465
9 2401 0.061461 903
10 2401 0.082608 1405
11 2401 0.102783 2001
12 2401 0.15642 3779
13 2401 0.261174 7923
14 2401 0.336936 9861
15 2401 0.494366 15633
16 2401 0.677333 21719
17 2401 0.821869 26703
18 2401 0.852254 26305
19 2401 1.15445 34809
20 2401 1.10541 36827
21 2401 1.27603 43749
22 2401 1.36084 46981
23 2401 1.49876 51825
24 2401 1.69686 58279
25 2401 1.78585 62397
26 2401 1.91352 65183
27 2401 2.12255 72117
28 2401 2.15961 77707
29 2401 2.3387 80601
1 2704 0.019088 3
2 2704 0.019858 7
3 2704 0.023861 15
4 2704 0.028783 31
5 2704 0.032577 63
6 2704 0.039016 119
7 2704 0.046697 245
8 2704 0.054325 437
9 2704 0.06217 669
10 2704 0.086692 1507
11 2704 0.121411 2221
12 2704 0.185433 4855
13 2704 0.259913 7567
14 2704 0.325043 9225
15 2704 0.524827 16385
16 2704 0.701744 22365
17 2704 0.868923 27893
18 2704 1.075 34453
19 2704 1.11543 35753
20 2704 1.26727 42215
21 2704 1.43606 48059
22 2704 1.63374 56199
23 2704 1.69143 57653
24 2704 1.90771 65195
25 2704 2.06439 71857
26 2704 2.2336 73087
27 2704 2.38123 79819
28 2704 2.488 85825
29 2704 2.61238 89517
1 3025 0.017884 3
2 3025 0.020691 7
3 3025 0.026563 15
4 3025 0.031224 31
5 3025 0.037058 57
6 3025 0.042476 119
7 3025 0.049141 255
8 3025 0.057953 455
9 3025 0.07221 813
10 3025 0.105736 1535
11 3025 0.124781 2119
12 3025 0.196541 5109
13 3025 0.275201 7883
14 3025 0.33415 9279
15 3025 0.492156 14543
16 3025 0.565505 16697
17 3025 0.782565 24393
18 3025 1.02506 31865
19 3025 1.28863 43163
20 3025 1.40772 46795
21 3025 1.4768 49783
22 3025 1.64218 54509
23 3025 1.82937 62305
24 3025 2.14471 73735
25 3025 2.3806 81375
26 3025 3.04394 79209
27 3025 2.63249 90707
28 3025 2.78361 97161
29 3025 3.02036 102061
1 3364 0.021473 3
2 3364 0.023302 7
3 3364 0.028472 15
4 3364 0.04677 31
5 3364 0.04059 63
6 3364 0.045588 117
7 3364 0.057414 229
8 3364 0.065038 431
9 3364 0.092151 1015
10 3364 0.107693 1611
11 3364 0.155272 2651
12 3364 0.212996 5791
13 3364 0.294498 8571
14 3364 0.443216 13375
15 3364 0.540598 16395
16 3364 0.711451 21807
17 3364 0.873045 26871
18 3364 1.10944 34051
19 3364 1.34474 42469
20 3364 1.56755 54445
21 3364 1.84259 63405
22 3364 1.83963 61987
23 3364 2.03472 69655
24 3364 2.32042 78923
25 3364 2.24569 77347
26 3364 2.75968 94483
27 3364 2.97894 103361
28 3364 3.00032 100621
29 3364 3.18158 109495
1 3721 0.023859 3
2 3721 0.025547 7
3 3721 0.031776 15
4 3721 0.037289 31
5 3721 0.043874 63
6 3721 0.050871 125
7 3721 0.061238 241
8 3721 0.075818 467
9 3721 0.093964 729
10 3721 0.113504 1243
11 3721 0.15059 3027
12 3721 0.202727 4225
13 3721 0.316486 8855
14 3721 0.434405 12787
15 3721 0.570958 16847
16 3721 0.773385 23711
17 3721 1.19406 38005
18 3721 1.29854 41243
19 3721 1.50044 46543
20 3721 1.54528 52093
21 3721 1.85252 63335
22 3721 2.05076 70589
23 3721 2.09801 71899
24 3721 2.58458 87719
25 3721 2.79158 94207
26 3721 3.06047 99575
27 3721 2.9597 101579
28 3721 3.51736 120995
29 3721 3.52637 120555
1 4096 0.02247 3
2 4096 0.027333 7
3 4096 0.033439 15
4 4096 0.041319 31
5 4096 0.048915 59
6 4096 0.055548 127
7 4096 0.07138 235
8 4096 0.086893 473
9 4096 0.101294 925
10 4096 0.120628 1017
