n v tiempo llamadas
20 784 0.038993 2392
21 784 0.029813 2019
22 784 0.083889 5199
23 784 0.141558 7061
24 784 0.01701 1114
25 784 0.083871 6069
26 784 0.155619 5925
27 784 0.040258 2279
28 784 0.203414 10711
29 784 0.310329 20297
1 961 0.000481 3
2 961 0.000406 6
3 961 0.000593 13
4 961 0.000956 23
5 961 0.000915 21
6 961 0.001482 46
7 961 0.003407 172
8 961 0.002872 124
9 961 0.003408 132
10 961 0.005985 277
11 961 0.005927 305
12 961 0.009504 360
13 961 0.014344 910
14 961 0.011506 625
15 961 0.017195 955
16 961 0.023019 1457
17 961 0.088965 5321
18 961 0.023107 1455
19 961 0.044967 2843
20 961 0.020966 1107
21 961 0.183741 12035
22 961 0.035409 2518
23 961 0.064545 3876
24 961 0.02149 1400
25 961 0.105558 6823
26 961 0.064869 4298
27 961 0.146362 10808
28 961 0.248267 17124
29 961 0.048571 1966
1 1156 0.000404 3
2 1156 0.000457 7
3 1156 0.000603 12
4 1156 0.000953 23
5 1156 0.001156 33
6 1156 0.001093 31
7 1156 0.001927 87
8 1156 0.00275 110
9 1156 0.003453 152
10 1156 0.004007 201
11 1156 0.005469 259
12 1156 0.00271 123
13 1156 0.004451 231
14 1156 0.021623 1214
15 1156 0.02002 1116
16 1156 0.011196 706
17 1156 0.016757 969
18 1156 0.015086 794
19 1156 0.065827 3739
20 1156 0.017027 867
21 1156 0.287657 17912
22 1156 0.056623 3604
23 1156 0.039799 2596
24 1156 0.069272 4459
25 1156 0.045832 3051
26 1156 0.069899 2609
27 1156 0.159398 10852
28 1156 0.128944 6874
29 1156 0.207816 12703
1 1369 0.000382 3
2 1369 0.00062 6
3 1369 0.000715 15
4 1369 0.000873 21
5 1369 0.001522 47
6 1369 0.001241 43
7 1369 0.001844 69
8 1369 0.002544 102
9 1369 0.006981 346
10 1369 0.004192 190
11 1369 0.012255 707
12 1369 0.018134 1098
13 1369 0.006722 352
14 1369 0.010381 510
15 1369 0.005823 334
16 1369 0.009075 500
17 1369 0.017365 1001
18 1369 0.019644 1189
19 1369 0.026745 1605
20 1369 0.050064 3265
21 1369 0.091391 5295
22 1369 0.18415 11655
23 1369 0.206198 14309
24 1369 0.075723 5148
25 1369 0.096134 6194
26 1369 0.06594 4514
27 1369 0.212267 11206
28 1369 0.066709 3257
29 1369 0.22532 13320
1 1600 0.000399 3
2 1600 0.000505 7
3 1600 0.000735 12
4 1600 0.000895 18
5 1600 0.00113 32
6 1600 0.001265 39
7 1600 0.00275 118
8 1600 0.002096 90
9 1600 0.002752 116
10 1600 0.00326 147
11 1600 0.007366 405
12 1600 0.008686 463
13 1600 0.011079 595
14 1600 0.012521 679
15 1600 0.012387 698
16 1600 0.064794 4368
17 1600 0.029163 1741
18 1600 0.093335 5534
19 1600 0.075874 5200
20 1600 0.145746 8584
21 1600 0.054413 3702
22 1600 0.056954 3802
23 1600 0.047558 3107
24 1600 0.083188 4259
25 1600 0.065552 3796
26 1600 0.279716 20479
27 1600 0.351271 20914
28 1600 0.181118 12032
29 1600 0.124136 8489
1 1849 0.00043 3
2 1849 0.000532 6
3 1849 0.000757 14
4 1849 0.000756 16
5 1849 0.001022 34
6 1849 0.001354 40
7 1849 0.001571 55
8 1849 0.002828 115
9 1849 0.004987 246
10 1849 0.003875 184
11 1849 0.00713 367
12 1849 0.013028 737
13 1849 0.012123 686
14 1849 0.014392 870
15 1849 0.005223 282
16 1849 0.025552 1620
17 1849 0.017688 1059
18 1849 0.034569 1575
19 1849 0.041644 2340
20 1849 0.024403 1544
21 1849 0.087333 4870
22 1849 0.06937 3687
23 1849 0.123318 5566
24 1849 0.117977 6548
25 1849 0.21712 13049
26 1849 0.052789 3462
27 1849 0.068836 4151
28 1849 0.296091 20577
29 1849 0.143646 8920
1 2116 0.00042 3
2 2116 0.000598 7
3 2116 0.000656 13
4 2116 0.000835 18
5 2116 0.00104 32
6 2116 0.001205 40
7 2116 0.002513 99
8 2116 0.005116 187
9 2116 0.002108 91
10 2116 0.004301 207
11 2116 0.005486 282
12 2116 0.008839 493
13 2116 0.005788 303
14 2116 0.022286 1295
15 2116 0.006851 375
16 2116 0.032 1958
17 2116 0.018574 1130
18 2116 0.016929 1004
19 2116 0.017757 857
20 2116 0.020992 1410
21 2116 0.056308 3395
22 2116 0.196718 11645
23 2116 0.201781 11360
24 2116 0.215903 14476
25 2116 0.037425 2606
26 2116 0.297497 19618
27 2116 0.161513 10023
28 2116 0.074425 5286
29 2116 0.049024 2473
1 2401 0.000277 3
2 2401 0.000612 7
3 2401 0.000721 12
4 2401 0.001036 27
5 2401 0.000949 29
6 2401 0.001521 52
7 2401 0.002049 63
8 2401 0.003554 150
9 2401 0.005888 272
10 2401 0.004471 224
11 2401 0.00258 119
12 2401 0.00518 266
13 2401 0.01705 1056
14 2401 0.01487 886
15 2401 0.021395 1096
16 2401 0.048432 2995
17 2401 0.033317 1890
18 2401 0.01822 1101
19 2401 0.055049 3556
20 2401 0.043387 3063
21 2401 0.067549 4219
22 2401 0.04673 2938
23 2401 0.073735 4121
24 2401 0.088917 5093
25 2401 0.138569 6579
26 2401 0.075374 4081
27 2401 0.095524 6912
28 2401 0.296539 21301
29 2401 0.114231 8514
1 2704 0.000416 3
2 2704 0.000558 6
3 2704 0.000663 10
4 2704 0.000779 23
5 2704 0.001178 33
6 2704 0.001362 46
7 2704 0.002159 86
8 2704 0.002647 112
9 2704 0.003456 152
10 2704 0.005529 268
11 2704 0.003946 177
12 2704 0.010192 552
13 2704 0.014402 881
14 2704 0.006163 353
15 2704 0.019174 1146
16 2704 0.026129 1640
17 2704 0.030875 2047
18 2704 0.052382 3351
19 2704 0.027813 1408
20 2704 0.050525 3245
21 2704 0.046834 2851
22 2704 0.169065 11193
23 2704 0.047369 3446
24 2704 0.114195 8701
25 2704 0.203272 15204
26 2704 0.039135 2048
27 2704 0.196453 12109
28 2704 0.042138 2359
29 2704 0.131677 8539
1 3025 0.000379 3
2 3025 0.00049 6
3 3025 0.000617 13
4 3025 0.000872 19
5 3025 0.000729 21
6 3025 0.00172 64
7 3025 0.003558 147
8 3025 0.003156 131
9 3025 0.003978 176
10 3025 0.005961 294
11 3025 0.005042 258
12 3025 0.014679 866
13 3025 0.016298 927
14 3025 0.006449 347
15 3025 0.01154 685
16 3025 0.018771 1121
17 3025 0.016703 973
18 3025 0.024587 1325
19 3025 0.241662 14099
20 3025 0.049902 3351
21 3025 0.053093 2743
22 3025 0.025605 1691
23 3025 0.028238 1843
24 3025 0.162364 10548
25 3025 0.225204 16057
26 3025 0.059547 3947
27 3025 0.140206 10739
28 3025 0.68264 44670
29 3025 0.216817 13115
1 3364 0.000274 3
2 3364 0.000566 7
3 3364 0.000554 10
4 3364 0.000894 25
5 3364 0.001723 37
6 3364 0.001275 39
7 3364 0.00192 74
8 3364 0.003145 136
9 3364 0.010776 614
10 3364 0.00685 364
11 3364 0.005671 272
12 3364 0.022933 1294
13 3364 0.018843 1102
14 3364 0.023193 1400
15 3364 0.014817 886
16 3364 0.011953 697
17 3364 0.012728 731
18 3364 0.02065 1142
19 3364 0.03421 2135
20 3364 0.111701 6336
21 3364 0.145915 10105
22 3364 0.028195 1428
23 3364 0.064507 3142
24 3364 0.213724 14417
25 3364 0.111167 7743
26 3364 0.207444 12301
27 3364 0.220508 14014
28 3364 0.166496 9450
29 3364 0.112617 7344
1 3721 0.000463 3
2 3721 0.000526 7
3 3721 0.000649 10
4 3721 0.000848 18
5 3721 0.001095 30
6 3721 0.001904 65
7 3721 0.002347 87
8 3721 0.004176 197
9 3721 0.003075 129
10 3721 0.003081 155
11 3721 0.011513 668
12 3721 0.007489 395
13 3721 0.016494 934
14 3721 0.018825 1083
15 3721 0.015082 899
16 3721 0.02739 1666
17 3721 0.083096 5563
18 3721 0.044174 2614
19 3721 0.031101 2005
20 3721 0.048376 2270
21 3721 0.159327 9507
