2 1 0.002808 5
3 2 0.002528 11
4 3 0.003094 19
5 4 0.003674 29
6 5 0.004645 41
7 6 0.004936 55
8 7 0.005522 71
9 8 0.006342 89
10 9 0.007164 109
11 10 0.008996 131
12 11 0.009919 155
13 12 0.01106 181
14 13 0.011684 209
15 14 0.012709 239
16 15 0.013314 271
17 16 0.014829 305
18 17 0.014835 341
19 18 0.015633 379
20 19 0.016716 419
21 20 0.018106 461
22 21 0.019584 505
23 22 0.02048 551
24 23 0.022316 599
25 24 0.024584 649
26 25 0.037678 701
27 26 0.025451 755
28 27 0.027165 811
29 28 0.027391 869
