2 1 0.001925 5
3 2 0.002339 11
4 3 0.002724 19
5 4 0.003399 29
6 5 0.004169 41
7 6 0.004689 55
8 7 0.005393 71
9 8 0.006112 89
10 9 0.006784 109
11 10 0.008599 131
12 11 0.009486 155
13 12 0.010013 181
14 13 0.011025 209
15 14 0.011903 239
16 15 0.012667 271
17 16 0.01359 305
18 17 0.014915 341
19 18 0.01526 379
20 19 0.01627 419
21 20 0.017421 461
22 21 0.018457 505
23 22 0.01977 551
24 23 0.020833 599
25 24 0.022555 649
26 25 0.023329 701
27 26 0.024776 755
28 27 0.026475 811
29 28 0.027472 869
