n v tiempo llamadas
1 1 0.00321 3
2 1 0.00239 5
3 1 0.002328 7
4 1 0.002681 9
5 1 0.003319 11
6 1 0.003627 13
7 1 0.003927 15
8 1 0.004175 17
9 1 0.004677 19
10 1 0.004876 21
11 1 0.005192 23
12 1 0.005298 25
13 1 0.005975 27
14 1 0.006552 29
15 1 0.007656 31
16 1 0.00793 33
17 1 0.008455 35
18 1 0.008609 37
19 1 0.008692 39
20 1 0.009104 41
21 1 0.008577 43
22 1 0.008777 45
23 1 0.008826 47
24 1 0.009462 49
25 1 0.009686 51
26 1 0.01088 53
27 1 0.011361 55
28 1 0.011445 57
29 1 0.010272 59
1 16 0.002946 3
2 16 0.002062 7
3 16 0.002877 15
4 16 0.003146 23
5 16 0.003675 33
6 16 0.005289 65
7 16 0.006002 73
8 16 0.009015 121
9 16 0.010772 169
10 16 0.010387 157
11 16 0.013222 235
12 16 0.014399 257
13 16 0.017772 259
14 16 0.016496 319
15 16 0.018203 359
16 16 0.019161 397
17 16 0.021555 435
18 16 0.020861 435
19 16 0.022645 503
20 16 0.02105 481
21 16 0.023622 559
22 16 0.024378 567
23 16 0.02573 613
24 16 0.02927 667
25 16 0.02823 683
26 16 0.04133 719
27 16 0.030192 735
28 16 0.031338 777
29 16 0.033976 827
1 49 0.005296 3
2 49 0.002468 7
3 49 0.002933 13
4 49 0.005082 27
5 49 0.006064 59
6 49 0.007398 99
7 49 0.007435 81
8 49 0.011523 223
9 49 0.016074 359
10 49 0.03202 437
11 49 0.021215 487
12 49 0.023333 557
13 49 0.030638 773
14 49 0.031719 815
15 49 0.034579 891
16 49 0.038148 1015
17 49 0.038635 1039
18 49 0.04226 1155
19 49 0.045237 1281
20 49 0.046616 1363
21 49 0.051036 1467
22 49 0.076331 1517
23 49 0.056737 1657
24 49 0.059017 1751
25 49 0.063362 1891
26 49 0.066117 1995
27 49 0.065813 1979
28 49 0.068533 2109
29 49 0.071714 2187
1 100 0.00335 3
2 100 0.003804 7
3 100 0.00482 15
4 100 0.005013 25
5 100 0.006147 47
6 100 0.008154 103
7 100 0.010429 205
8 100 0.012979 283
9 100 0.020978 595
10 100 0.025077 667
11 100 0.031132 837
12 100 0.039399 1109
13 100 0.042724 1125
14 100 0.05156 1463
15 100 0.054718 1533
16 100 0.059904 1709
17 100 0.066159 2001
18 100 0.072867 2145
19 100 0.076536 2355
20 100 0.080136 2521
21 100 0.085903 2767
22 100 0.092414 3011
23 100 0.09907 3163
24 100 0.10381 3321
25 100 0.110094 3491
26 100 0.149399 3725
27 100 0.125354 4013
28 100 0.130956 4343
29 100 0.132896 4303
1 169 0.005116 3
2 169 0.004083 7
3 169 0.004659 15
4 169 0.005096 31
5 169 0.006399 57
6 169 0.010904 99
7 169 0.011055 183
8 169 0.015763 353
9 169 0.015919 297
10 169 0.026907 787
11 169 0.043019 1253
12 169 0.053587 1591
13 169 0.057642 1689
14 169 0.075967 2305
15 169 0.087134 2639
16 169 0.090809 2821
17 169 0.098321 3033
18 169 0.114318 3485
19 169 0.130835 3781
20 169 0.12405 3999
21 169 0.145632 4339
22 169 0.16135 4965
23 169 0.15109 4975
24 169 0.176191 5389
25 169 0.157536 5229
26 169 0.174054 5797
27 169 0.193913 6473
28 169 0.205274 6973
29 169 0.246892 7143
1 256 0.004909 3
2 256 0.004172 7
3 256 0.004645 15
4 256 0.00669 29
5 256 0.007505 61
6 256 0.009277 97
7 256 0.012068 233
8 256 0.016134 333
9 256 0.022821 673
10 256 0.0324 901
11 256 0.049879 1619
12 256 0.063027 1853
13 256 0.084235 2649
14 256 0.102423 3185
15 256 0.104062 3275
16 256 0.130385 4031
17 256 0.146036 4663
18 256 0.167015 5317
19 256 0.171368 5473
20 256 0.185815 5845
21 256 0.188319 6389
22 256 0.209232 7087
23 256 0.213661 7195
24 256 0.229418 7691
25 256 0.244027 8633
26 256 0.345392 9091
27 256 0.264475 9387
28 256 0.287212 9863
29 256 0.299642 10297
1 361 0.006926 3
2 361 0.004401 7
3 361 0.006305 15
4 361 0.006945 31
5 361 0.007691 59
6 361 0.010883 111
7 361 0.013104 211
8 361 0.020102 377
9 361 0.025693 673
10 361 0.034476 881
11 361 0.0599 1805
12 361 0.06262 1927
13 361 0.097936 3027
14 361 0.118362 3733
15 361 0.14419 4509
16 361 0.167863 5381
17 361 0.203469 6469
18 361 0.201927 6555
19 361 0.211862 6733
20 361 0.240066 8003
21 361 0.258208 8835
22 361 0.263371 9087
23 361 0.301635 10401
24 361 0.31505 10899
25 361 0.333463 11581
26 361 0.494792 12683
27 361 0.412138 13237
28 361 0.38656 13851
29 361 0.403582 13827
1 484 0.005618 3
2 484 0.005611 7
3 484 0.007177 15
4 484 0.008215 31
5 484 0.009227 63
6 484 0.013081 111
7 484 0.016804 235
8 484 0.020927 313
9 484 0.026425 603
10 484 0.04433 1271
11 484 0.053311 1475
12 484 0.084588 2577
13 484 0.098918 3143
14 484 0.140905 4395
15 484 0.170706 5497
16 484 0.219194 6981
17 484 0.212004 6777
18 484 0.259586 8333
19 484 0.272788 9195
20 484 0.33992 10595
21 484 0.323011 11241
22 484 0.358511 12511
23 484 0.370429 13463
24 484 0.397749 13361
25 484 0.440022 15371
26 484 0.46729 15693
27 484 0.529198 17937
28 484 0.497766 18167
29 484 0.546011 19035
1 625 0.008642 3
2 625 0.005897 7
3 625 0.008089 15
4 625 0.008464 31
5 625 0.011774 59
6 625 0.014036 103
7 625 0.01733 247
8 625 0.023443 391
9 625 0.035112 943
10 625 0.042462 1105
11 625 0.06867 2175
12 625 0.089488 2763
13 625 0.128943 3907
14 625 0.160957 5097
15 625 0.211003 6923
16 625 0.215144 6833
17 625 0.298076 9617
18 625 0.31127 10091
19 625 0.346389 11255
20 625 0.384969 13117
21 625 0.436144 15353
22 625 0.424422 14737
23 625 0.499165 17463
24 625 0.49791 17323
25 625 0.594628 19225
26 625 0.591187 20391
27 625 0.616755 21641
28 625 0.652506 22209
29 625 0.685689 23515
1 784 0.007259 3
2 784 0.007671 7
3 784 0.008321 15
4 784 0.011159 31
5 784 0.013291 61
6 784 0.016393 121
7 784 0.018845 223
8 784 0.024879 439
9 784 0.034162 803
10 784 0.049298 1373
11 784 0.063548 1743
12 784 0.096211 2913
13 784 0.144098 5027
14 784 0.166666 4337
15 784 0.277441 8977
16 784 0.294882 9561
17 784 0.343251 11115
18 784 0.372533 12449
19 784 0.362191 12457
20 784 0.442293 15431
21 784 0.475634 17211
22 784 0.544281 19027
23 784 0.582322 20517
24 784 0.61771 21687
25 784 0.657141 23173
26 784 0.723768 24705
27 784 0.786098 27533
28 784 0.798657 28193
29 784 0.7641 27773
1 961 0.007292 3
2 961 0.007872 7
3 961 0.010796 15
4 961 0.012555 31
5 961 0.014723 59
6 961 0.018088 125
7 961 0.021427 211
8 961 0.028284 463
9 961 0.039099 821
10 961 0.051732 1307
11 961 0.075578 2175
12 961 0.113158 3471
13 961 0.160478 5607
14 961 0.197823 6385
15 961 0.260804 8485
16 961 0.313956 10279
17 961 0.397888 13085
18 961 0.490221 14843
19 961 0.475451 16213
20 961 0.552643 18285
21 961 0.560931 19697
22 961 0.609942 20755
23 961 0.742477 25835
24 961 0.733195 25661
25 961 0.82849 28701
26 961 0.872823 30433
27 961 0.886254 31475
28 961 0.936665 32735
29 961 0.977511 34763
1 1156 0.009527 3
2 1156 0.010706 7
3 1156 0.012917 15
4 1156 0.014624 31
5 1156 0.016952 59
6 1156 0.019614 123
7 1156 0.022311 169
8 1156 0.029795 373
9 1156 0.039373 655
10 1156 0.05495 1335
11 1156 0.085095 2421
12 1156 0.117062 3711
13 1156 0.158597 5329
14 1156 0.254888 8403
15 1156 0.302821 9537
16 1156 0.343577 11135
17 1156 0.488881 15681
18 1156 0.509414 16411
19 1156 0.829104 19645
20 1156 0.666653 22569
21 1156 0.649763 23477
22 1156 0.692197 23895
23 1156 0.793805 27527
24 1156 0.837965 30583
25 1156 0.932552 32195
26 1156 1.54018 32951
27 1156 1.09779 38065
28 1156 1.13531 39761
29 1156 1.1787 41067
1 1369 0.011713 3
2 1369 0.011095 7
3 1369 0.014238 15
4 1369 0.016246 29
5 1369 0.018549 63
6 1369 0.022918 125
7 1369 0.026453 199
8 1369 0.03244 441
9 1369 0.044245 917
10 1369 0.060047 1513
11 1369 0.086103 2401
12 1369 0.123257 3561
13 1369 0.179047 5957
14 1369 0.259839 8353
15 1369 0.324274 10135
16 1369 0.406796 13173
17 1369 0.54225 18255
18 1369 0.621071 20393
19 1369 0.697609 22727
20 1369 0.716619 24103
21 1369 0.745542 25967
22 1369 0.872669 29939
23 1369 0.97143 32747
24 1369 1.06096 36467
25 1369 1.14385 39317
26 1369 1.89379 41193
27 1369 1.29882 45355
28 1369 1.36453 47819
29 1369 1.51892 52173
1 1600 0.012214 3
2 1600 0.012946 7
3 1600 0.016284 15
4 1600 0.018456 31
5 1600 0.021975 59
6 1600 0.024745 125
7 1600 0.029781 249
8 1600 0.036153 395
9 1600 0.047712 787
10 1600 0.067662 1535
11 1600 0.082566 2093
12 1600 0.114643 3015
13 1600 0.187065 6101
14 1600 0.298909 10057
15 1600 0.358819 12007
16 1600 0.489618 16195
17 1600 0.594285 18961
18 1600 0.680078 21925
19 1600 0.7575 25085
20 1600 0.912256 29809
21 1600 0.861761 29733
22 1600 0.931951 32211
23 1600 1.10519 37929
24 1600 1.26636 43019
25 1600 1.21838 42121
26 1600 1.45174 48115
27 1600 1.33871 48225
28 1600 1.59861 55297
29 1600 1.62508 56067
1 1849 0.012851 3
2 1849 0.017023 7
3 1849 0.017941 15
4 1849 0.020245 31
5 1849 0.023883 59
6 1849 0.030045 111
7 1849 0.03569 235
8 1849 0.081322 393
9 1849 0.053807 811
10 1849 0.066989 1409
11 1849 0.104696 3075
12 1849 0.156516 5053
13 1849 0.197716 5887
14 1849 0.329251 10879
15 1849 0.450242 15011
16 1849 0.517199 16721
